Time: 4.048, x: 1.14951e-06, y: -7.17838, z: 1.2512, phi: 0.00619278, theta: 1.32792e-08, psi: 2.85505e-10
Time: 4.088, x: 1.15999e-06, y: -7.16459, z: 1.25108, phi: 0.00617354, theta: 1.2316e-08, psi: 2.75011e-10
Time: 4.125, x: 1.17231e-06, y: -7.14907, z: 1.25087, phi: 0.00604358, theta: 1.12562e-08, psi: 2.61637e-10
Time: 4.165, x: 1.18374e-06, y: -7.13523, z: 1.25067, phi: 0.00585689, theta: 1.03171e-08, psi: 2.47507e-10
Time: 4.205, x: 1.19577e-06, y: -7.12119, z: 1.25047, phi: 0.00566838, theta: 9.31663e-09, psi: 2.29973e-10
Time: 4.244, x: 1.20904e-06, y: -7.10622, z: 1.25029, phi: 0.00547916, theta: 8.19066e-09, psi: 2.08091e-10
Time: 4.281, x: 1.22192e-06, y: -7.09215, z: 1.25017, phi: 0.00527622, theta: 7.12793e-09, psi: 1.86681e-10
Time: 4.32, x: 1.23467e-06, y: -7.07859, z: 1.25009, phi: 0.00502489, theta: 6.14152e-09, psi: 1.6735e-10
Time: 4.359, x: 1.2476e-06, y: -7.06517, z: 1.25004, phi: 0.00468232, theta: 5.23642e-09, psi: 1.50852e-10
Time: 4.398, x: 1.26067e-06, y: -7.05189, z: 1.25003, phi: 0.0042455, theta: 4.41853e-09, psi: 1.37263e-10
Time: 4.436, x: 1.27456e-06, y: -7.03805, z: 1.25004, phi: 0.00370686, theta: 3.65275e-09, psi: 1.25382e-10
Time: 4.476, x: 1.28786e-06, y: -7.025, z: 1.25007, phi: 0.00317043, theta: 2.98383e-09, psi: 1.15214e-10
Time: 4.514, x: 1.30125e-06, y: -7.01204, z: 1.25011, phi: 0.00266897, theta: 2.3248e-09, psi: 1.05085e-10
Time: 4.554, x: 1.31577e-06, y: -6.99815, z: 1.25015, phi: 0.00211132, theta: 1.68848e-09, psi: 9.41619e-11
Time: 4.593, x: 1.32927e-06, y: -6.98533, z: 1.25019, phi: 0.00154842, theta: 1.20608e-09, psi: 8.43862e-11
Time: 4.633, x: 1.34245e-06, y: -6.97289, z: 1.25022, phi: 0.000978043, theta: 8.18289e-10, psi: 7.53239e-11
Time: 4.667, x: 1.35565e-06, y: -6.96048, z: 1.25025, phi: 0.000459773, theta: 4.41882e-10, psi: 6.6684e-11
Time: 4.706, x: 1.36886e-06, y: -6.94808, z: 1.25028, phi: 1.05821e-05, theta: 6.15509e-11, psi: 5.85214e-11
Time: 4.748, x: 1.38208e-06, y: -6.93568, z: 1.2503, phi: -0.000390627, theta: -3.00879e-10, psi: 5.09689e-11
Time: 4.788, x: 1.39528e-06, y: -6.92327, z: 1.25031, phi: -0.000765051, theta: -6.28608e-10, psi: 4.40757e-11
Time: 4.826, x: 1.40883e-06, y: -6.9105, z: 1.25031, phi: -0.001131, theta: -9.00919e-10, psi: 3.77701e-11
Time: 4.868, x: 1.42873e-06, y: -6.89163, z: 1.25031, phi: -0.00164364, theta: -1.14132e-09, psi: 2.99058e-11
Time: 4.908, x: 1.44291e-06, y: -6.87808, z: 1.25031, phi: -0.00201722, theta: -1.16281e-09, psi: 2.51642e-11
Time: 4.947, x: 1.45634e-06, y: -6.86516, z: 1.25031, phi: -0.00235864, theta: -1.08897e-09, psi: 2.12818e-11
Time: 4.986, x: 1.46973e-06, y: -6.85216, z: 1.25031, phi: -0.00265301, theta: -9.69665e-10, psi: 1.81174e-11
Time: 5.026, x: 1.48275e-06, y: -6.83944, z: 1.25031, phi: -0.00289646, theta: -8.19602e-10, psi: 1.57188e-11
Time: 5.065, x: 1.4954e-06, y: -6.82698, z: 1.25031, phi: -0.00307844, theta: -6.64322e-10, psi: 1.40046e-11
Time: 5.105, x: 1.50838e-06, y: -6.8141, z: 1.25031, phi: -0.00316318, theta: -5.59609e-10, psi: 1.30063e-11
Time: 5.143, x: 1.52169e-06, y: -6.80077, z: 1.25031, phi: -0.00314015, theta: -5.10225e-10, psi: 1.26574e-11
Time: 5.182, x: 1.535e-06, y: -6.78735, z: 1.25031, phi: -0.00302225, theta: -4.92421e-10, psi: 1.26507e-11
Time: 5.222, x: 1.54758e-06, y: -6.77457, z: 1.25031, phi: -0.00284965, theta: -4.68903e-10, psi: 1.25747e-11
Time: 5.26, x: 1.56051e-06, y: -6.76134, z: 1.25031, phi: -0.0026551, theta: -3.81802e-10, psi: 1.20425e-11
Time: 5.3, x: 1.5804e-06, y: -6.74084, z: 1.2503, phi: -0.00237865, theta: -5.31489e-11, psi: 1.00349e-11
