Time: 8.635, U1: 20.6743, U2: -0.00208232, U3: 6.16307e-07, U4: 1.08446e-09
Time: 8.672, U1: 20.671, U2: 0.00357854, U3: 2.32517e-07, U4: 1.39764e-09
Time: 8.713, U1: 20.6778, U2: 0.00101602, U3: 1.1052e-07, U4: 8.28206e-10
Time: 8.752, U1: 20.677, U2: -0.00224685, U3: 8.81002e-08, U4: 7.59617e-10
Time: 8.788, U1: 20.6743, U2: -0.00357682, U3: 1.19492e-07, U4: 1.49579e-09
Time: 8.827, U1: 20.6789, U2: -0.00629319, U3: 1.81014e-08, U4: 8.49601e-10
Time: 8.867, U1: 20.6811, U2: -0.00837604, U3: -1.379e-08, U4: -1.24137e-09
Time: 8.907, U1: 20.6822, U2: -0.00246838, U3: -3.45594e-07, U4: -7.36527e-09
Time: 8.947, U1: 20.6819, U2: 0.00722713, U3: -8.74988e-07, U4: -1.37018e-08
Time: 8.986, U1: 20.6801, U2: 0.00935575, U3: -8.22053e-07, U4: -1.54983e-08
Time: 9.025, U1: 20.6791, U2: 0.00537791, U3: -5.41324e-07, U4: -8.40727e-09
Time: 9.065, U1: 20.6796, U2: 0.00217306, U3: -1.08075e-07, U4: 3.47846e-09
Time: 9.104, U1: 20.678, U2: -0.00336692, U3: 3.14808e-07, U4: 1.42528e-08
Time: 9.143, U1: 20.6776, U2: -0.0050375, U3: 6.94642e-07, U4: 1.94132e-08
Time: 9.182, U1: 20.6772, U2: -0.00488284, U3: 1.01771e-06, U4: 1.72656e-08
Time: 9.221, U1: 20.6771, U2: 0.00271441, U3: 2.50973e-07, U4: 8.51957e-09
Time: 9.261, U1: 20.6783, U2: 0.00443599, U3: 2.36208e-07, U4: -2.23696e-09
Time: 9.301, U1: 20.6785, U2: 0.00513805, U3: -5.36412e-09, U4: -1.02065e-08
Time: 9.339, U1: 20.6761, U2: 0.00365973, U3: 8.26457e-07, U4: -6.71425e-09
Time: 9.376, U1: 20.674, U2: -0.000947359, U3: 1.9248e-06, U4: 1.33575e-09
Time: 9.414, U1: 20.6762, U2: -0.00568792, U3: 3.0551e-06, U4: 8.69374e-09
Time: 9.458, U1: 20.6827, U2: -0.00603316, U3: 3.8178e-06, U4: 9.79713e-09
Time: 9.499, U1: 20.6815, U2: 0.000734693, U3: 2.10192e-06, U4: 2.42482e-09
Time: 9.54, U1: 20.6813, U2: -0.000134633, U3: 3.36357e-06, U4: -1.00866e-08
Time: 9.579, U1: 20.678, U2: 0.00163244, U3: 7.14271e-06, U4: -1.92133e-08
Time: 9.618, U1: 20.6768, U2: -0.000900387, U3: 1.43831e-05, U4: -1.88213e-08
Time: 9.657, U1: 20.6761, U2: -0.00144582, U3: 3.77995e-05, U4: -1.38572e-08
Time: 9.695, U1: 20.6748, U2: -0.00172936, U3: 0.000144405, U4: -5.63033e-09
Time: 9.732, U1: 20.6732, U2: -0.00392857, U3: 0.000571869, U4: 1.96178e-08
Time: 9.768, U1: 20.6727, U2: -0.00312691, U3: 0.00235127, U4: 9.46689e-08
Time: 9.809, U1: 20.6804, U2: 0.00465776, U3: 0.00198515, U4: -9.64862e-08
Time: 9.851, U1: 20.6829, U2: 0.00647021, U3: 0.00416204, U4: -1.34804e-07
Time: 9.892, U1: 20.6828, U2: 0.00615584, U3: 0.00659765, U4: 6.02002e-07
Time: 9.932, U1: 20.6809, U2: 0.00367602, U3: 0.00895704, U4: 2.44191e-06
Time: 9.972, U1: 20.6797, U2: -0.00156057, U3: 0.0101305, U4: 5.90878e-06
Time: 10.012, U1: 20.6786, U2: 0.00248503, U3: 0.00588083, U4: 8.20707e-06
Time: 10.051, U1: 20.6767, U2: -0.00809599, U3: 0.00270691, U4: 1.02665e-05
Time: 10.087, U1: 20.6722, U2: -0.00882367, U3: 0.00134499, U4: 8.98256e-06
Time: 10.127, U1: 20.6773, U2: -0.0070982, U3: -0.00903962, U4: -2.30926e-06
