Time: 6.981, x: 4.39801e-06, y: -5.67015, z: 1.25
Time: 7.03, x: 4.51546e-06, y: -5.65632, z: 1.25
Time: 7.08, x: 4.67402e-06, y: -5.63632, z: 1.25
Time: 7.128, x: 4.84169e-06, y: -5.61633, z: 1.25
Time: 7.178, x: 4.98543e-06, y: -5.60252, z: 1.25
Time: 7.227, x: 5.18008e-06, y: -5.5822, z: 1.25
Time: 7.276, x: 5.38752e-06, y: -5.56228, z: 1.25
Time: 7.323, x: 5.55511e-06, y: -5.54927, z: 1.25
Time: 7.371, x: 5.79788e-06, y: -5.52871, z: 1.25
Time: 7.418, x: 5.99181e-06, y: -5.51576, z: 1.25
Time: 7.466, x: 6.27068e-06, y: -5.49564, z: 1.25
Time: 7.516, x: 6.57251e-06, y: -5.47632, z: 1.25
Time: 7.566, x: 6.84555e-06, y: -5.46196, z: 1.25
Time: 7.616, x: 7.21512e-06, y: -5.44197, z: 1.25
Time: 7.664, x: 7.61079e-06, y: -5.42263, z: 1.25
Time: 7.711, x: 7.95721e-06, y: -5.40905, z: 1.25
Time: 7.757, x: 8.42631e-06, y: -5.39016, z: 1.25001
Time: 7.804, x: 8.84528e-06, y: -5.37695, z: 1.25002
Time: 7.851, x: 9.45555e-06, y: -5.35701, z: 1.25002
Time: 7.9, x: 9.99475e-06, y: -5.34385, z: 1.25002
Time: 7.949, x: 1.07798e-05, y: -5.32433, z: 1.25002
Time: 7.997, x: 1.1691e-05, y: -5.3048, z: 1.25002
Time: 8.047, x: 1.25179e-05, y: -5.29203, z: 1.25002
Time: 8.098, x: 1.37904e-05, y: -5.27251, z: 1.25001
Time: 8.142, x: 1.52907e-05, y: -5.25262, z: 1.25001
Time: 8.189, x: 1.6364e-05, y: -5.2396, z: 1.25001
Time: 8.238, x: 1.76173e-05, y: -5.21995, z: 1.25
Time: 8.29, x: 1.8796e-05, y: -5.19968, z: 1.25
Time: 8.34, x: 1.98247e-05, y: -5.18616, z: 1.25
Time: 8.39, x: 2.08944e-05, y: -5.16656, z: 1.25
Time: 8.442, x: 2.20453e-05, y: -5.14654, z: 1.25
Time: 8.485, x: 2.30748e-05, y: -5.1333, z: 1.25
Time: 8.528, x: 2.41917e-05, y: -5.12007, z: 1.25
Time: 8.573, x: 2.54563e-05, y: -5.10003, z: 1.25
Time: 8.619, x: 2.69407e-05, y: -5.08642, z: 1.25001
Time: 8.663, x: 2.85148e-05, y: -5.06634, z: 1.25001
Time: 8.706, x: 3.02958e-05, y: -5.05308, z: 1.25001
Time: 8.751, x: 3.24345e-05, y: -5.0398, z: 1.25001
Time: 8.792, x: 3.46712e-05, y: -5.02616, z: 1.25001
Time: 8.835, x: 3.73882e-05, y: -5.00605, z: 1.25001
Time: 8.885, x: 4.11848e-05, y: -4.99241, z: 1.25
Time: 8.932, x: 4.5543e-05, y: -4.97304, z: 1.25
Time: 8.978, x: 5.08358e-05, y: -4.95329, z: 1.25
Time: 9.025, x: 5.77564e-05, y: -4.93966, z: 1.25
Time: 9.073, x: 6.72316e-05, y: -4.91918, z: 1.25
Time: 9.122, x: 8.21337e-05, y: -4.90659, z: 1.25
Time: 9.166, x: 0.000106573, y: -4.88608, z: 1.25
Time: 9.21, x: 0.000171623, y: -4.87203, z: 1.25
Time: 9.255, x: 0.000434864, y: -4.85834, z: 1.25
Time: 9.299, x: 0.00144803, y: -4.8378, z: 1.25
Time: 9.346, x: 0.00555968, y: -4.82446, z: 1.25
Time: 9.388, x: 0.0126727, y: -4.81111, z: 1.25
Time: 9.436, x: 0.0222888, y: -4.79055, z: 1.25
Time: 9.485, x: 0.0320631, y: -4.77614, z: 1.25
Time: 9.534, x: 0.0418498, y: -4.7563, z: 1.25
Time: 9.583, x: 0.0464777, y: -4.74267, z: 1.25
Time: 9.625, x: 0.0459758, y: -4.72097, z: 1.25
Time: 9.666, x: 0.053647, y: -4.70738, z: 1.25
Time: 9.707, x: 0.0409305, y: -4.69371, z: 1.25
Time: 9.745, x: 0.0425938, y: -4.67931, z: 1.25
