Time: 5.448, vx: -0.000252205, vy: 0.186325, vz: 1.25013e-05, vphi: -0.00823276, vtheta: -9.14354e-06, vpsi: 2.66337e-06
Time: 5.494, vx: -0.000196454, vy: 0.186794, vz: 1.08119e-05, vphi: -0.00783702, vtheta: -3.96423e-05, vpsi: 2.46751e-06
Time: 5.541, vx: -0.000116972, vy: 0.187673, vz: 8.33608e-06, vphi: -0.00629017, vtheta: -8.05732e-05, vpsi: 2.042e-06
Time: 5.586, vx: -6.3424e-05, vy: 0.188419, vz: 7.22903e-06, vphi: -0.00501073, vtheta: -0.000107481, vpsi: 1.71836e-06
Time: 5.634, vx: -1.41471e-05, vy: 0.189179, vz: 5.84079e-06, vphi: -0.00417693, vtheta: -0.000131226, vpsi: 1.47247e-06
Time: 5.681, vx: 6.2785e-05, vy: 0.190553, vz: 5.35832e-06, vphi: -0.00269401, vtheta: -0.000167357, vpsi: 1.06938e-06
Time: 5.727, vx: 0.000129243, vy: 0.191884, vz: 3.76703e-06, vphi: -0.00179521, vtheta: -0.000196346, vpsi: 7.81047e-07
Time: 5.772, vx: 0.000172757, vy: 0.192879, vz: 1.5791e-06, vphi: -0.000502176, vtheta: -0.000212856, vpsi: 5.23273e-07
Time: 5.816, vx: 0.000212022, vy: 0.193864, vz: 1.89378e-07, vphi: 0.000673218, vtheta: -0.000226278, vpsi: 3.0495e-07
Time: 5.866, vx: 0.000264762, vy: 0.1953, vz: 1.08861e-06, vphi: 0.00127304, vtheta: -0.000243278, vpsi: 1.03872e-07
Time: 5.913, vx: 0.000296365, vy: 0.196277, vz: 5.28602e-06, vphi: 0.00174575, vtheta: -0.000253379, vpsi: -1.95904e-08
Time: 5.957, vx: 0.00032338, vy: 0.197173, vz: 7.98092e-06, vphi: 0.00214239, vtheta: -0.000258651, vpsi: -1.04087e-07
Time: 6.011, vx: 0.000360332, vy: 0.198544, vz: 5.37087e-06, vphi: 0.00163841, vtheta: -0.000259235, vpsi: -1.37963e-07
Time: 6.06, vx: 0.000378142, vy: 0.199412, vz: 6.33111e-06, vphi: 0.00157468, vtheta: -0.000259604, vpsi: -1.52744e-07
Time: 6.106, vx: 0.000397175, vy: 0.201502, vz: 0.000265796, vphi: 0.000521153, vtheta: -0.000250673, vpsi: -1.22317e-07
Time: 6.15, vx: 0.000405086, vy: 0.202641, vz: 0.000339768, vphi: 0.00131488, vtheta: -0.000240685, vpsi: -8.29808e-08
Time: 6.205, vx: 0.000408614, vy: 0.203789, vz: 0.000260949, vphi: 0.00388565, vtheta: -0.000229717, vpsi: -1.05131e-07
Time: 6.257, vx: 0.000407161, vy: 0.204517, vz: 0.00017643, vphi: 0.00526672, vtheta: -0.000223063, vpsi: -1.63389e-07
Time: 6.304, vx: 0.00039887, vy: 0.206095, vz: 0.000283705, vphi: 0.00599779, vtheta: -0.000205754, vpsi: -3.36766e-07
Time: 6.349, vx: 0.000385098, vy: 0.207921, vz: 0.000561676, vphi: 0.00490816, vtheta: -0.000184387, vpsi: -5.39185e-07
Time: 6.399, vx: 0.00037248, vy: 0.20842, vz: 0.000507996, vphi: 0.00477032, vtheta: -0.000170346, vpsi: -5.84606e-07
Time: 6.446, vx: 0.000348213, vy: 0.208935, vz: 0.000261842, vphi: 0.00664512, vtheta: -0.000149777, vpsi: -5.34715e-07
Time: 6.494, vx: 0.000329552, vy: 0.209085, vz: 8.65903e-05, vphi: 0.00655238, vtheta: -0.000134743, vpsi: -5.37276e-07
Time: 6.542, vx: 0.000298601, vy: 0.209113, vz: -0.00013963, vphi: 0.00529603, vtheta: -0.000111504, vpsi: -6.1077e-07
Time: 6.59, vx: 0.000274957, vy: 0.208995, vz: -0.000259169, vphi: 0.00313289, vtheta: -9.46516e-05, vpsi: -6.83545e-07
Time: 6.638, vx: 0.000237231, vy: 0.208735, vz: -0.000367497, vphi: -0.000204348, vtheta: -6.88625e-05, vpsi: -6.93387e-07
Time: 6.683, vx: 0.00021261, vy: 0.208591, vz: -0.000395441, vphi: -0.00161049, vtheta: -5.26935e-05, vpsi: -5.74137e-07
Time: 6.729, vx: 0.000173063, vy: 0.208456, vz: -0.000389745, vphi: -0.00241938, vtheta: -2.78704e-05, vpsi: -2.13431e-07
Time: 6.776, vx: 0.000146427, vy: 0.208458, vz: -0.000361447, vphi: -0.00219687, vtheta: -1.18562e-05, vpsi: 8.68801e-08
Time: 6.824, vx: 0.000106628, vy: 0.20857, vz: -0.000300914, vphi: -6.30262e-05, vtheta: 1.11004e-05, vpsi: 5.72373e-07
Time: 6.871, vx: 8.00277e-05, vy: 0.20862, vz: -0.000254684, vphi: 0.000754785, vtheta: 2.57418e-05, vpsi: 7.73248e-07
Time: 6.916, vx: 3.98429e-05, vy: 0.208648, vz: -0.000184777, vphi: 0.00168178, vtheta: 4.65493e-05, vpsi: 8.66552e-07
Time: 6.964, vx: 1.45451e-05, vy: 0.208664, vz: -0.000142425, vphi: 0.00293672, vtheta: 5.9005e-05, vpsi: 8.76707e-07
