Time: 7.31, x: 3.74323e-07, y: -6.73699, z: 1.25
Time: 7.375, x: 5.16646e-07, y: -6.7218, z: 1.25
Time: 7.447, x: 6.70477e-07, y: -6.70689, z: 1.25
Time: 7.515, x: 7.94418e-07, y: -6.69549, z: 1.25
Time: 7.588, x: 9.65139e-07, y: -6.68011, z: 1.25
Time: 7.652, x: 1.09407e-06, y: -6.66842, z: 1.25
Time: 7.715, x: 1.25286e-06, y: -6.65359, z: 1.25
Time: 7.781, x: 1.37224e-06, y: -6.64221, z: 1.25
Time: 7.851, x: 1.51589e-06, y: -6.62749, z: 1.25
Time: 7.919, x: 1.64903e-06, y: -6.61243, z: 1.25
Time: 7.987, x: 1.7398e-06, y: -6.60138, z: 1.25
Time: 8.058, x: 1.84392e-06, y: -6.58661, z: 1.25
Time: 8.135, x: 1.92771e-06, y: -6.57228, z: 1.25
Time: 8.211, x: 1.99603e-06, y: -6.55758, z: 1.25
Time: 8.275, x: 2.04503e-06, y: -6.54231, z: 1.25
Time: 8.342, x: 2.07275e-06, y: -6.53135, z: 1.25
Time: 8.411, x: 2.09148e-06, y: -6.51566, z: 1.25
Time: 8.484, x: 2.09972e-06, y: -6.50447, z: 1.25
Time: 8.556, x: 2.09397e-06, y: -6.48953, z: 1.25
Time: 8.633, x: 2.07192e-06, y: -6.472, z: 1.25
Time: 8.711, x: 2.04792e-06, y: -6.4572, z: 1.25
Time: 8.783, x: 2.02825e-06, y: -6.44553, z: 1.25
Time: 8.857, x: 1.99351e-06, y: -6.42968, z: 1.25
Time: 8.934, x: 1.96231e-06, y: -6.41479, z: 1.25
Time: 9, x: 1.93068e-06, y: -6.39987, z: 1.25
Time: 9.07, x: 1.91621e-06, y: -6.38872, z: 1.25
Time: 9.137, x: 1.8951e-06, y: -6.37396, z: 1.25
Time: 9.208, x: 1.88195e-06, y: -6.35856, z: 1.25
Time: 9.272, x: 1.88191e-06, y: -6.34653, z: 1.25
Time: 9.342, x: 1.88788e-06, y: -6.33147, z: 1.25
Time: 9.408, x: 1.90527e-06, y: -6.32001, z: 1.25
Time: 9.476, x: 1.93206e-06, y: -6.30491, z: 1.25
Time: 9.536, x: 1.9638e-06, y: -6.29404, z: 1.25
Time: 9.605, x: 2.01355e-06, y: -6.27873, z: 1.25
Time: 9.67, x: 2.06474e-06, y: -6.26766, z: 1.25
Time: 9.737, x: 2.13577e-06, y: -6.25256, z: 1.25
Time: 9.809, x: 2.22233e-06, y: -6.23726, z: 1.25
Time: 9.889, x: 2.32564e-06, y: -6.22198, z: 1.25
Time: 9.959, x: 2.43515e-06, y: -6.20669, z: 1.25
Time: 10.033, x: 2.55595e-06, y: -6.19179, z: 1.25
Time: 10.108, x: 2.55466e-06, y: -6.17669, z: 1.25
Time: 10.181, x: 2.44698e-06, y: -6.1652, z: 1.25
Time: 10.241, x: 2.2617e-06, y: -6.15027, z: 1.25
Time: 10.298, x: 2.35571e-06, y: -6.13918, z: 1.25
Time: 10.35, x: 2.05523e-06, y: -6.12788, z: 1.25
Time: 10.411, x: 1.6911e-06, y: -6.1168, z: 1.25
Time: 10.476, x: 1.29636e-06, y: -6.10551, z: 1.25
Time: 10.539, x: 9.44401e-07, y: -6.09022, z: 1.25
Time: 10.604, x: 6.40702e-07, y: -6.07856, z: 1.25
Time: 10.665, x: 6.76396e-07, y: -6.06752, z: 1.25
Time: 10.729, x: 1.26616e-06, y: -6.05287, z: 1.25
Time: 10.792, x: 2.68906e-07, y: -6.04085, z: 1.25
Time: 10.856, x: 7.31395e-07, y: -6.02925, z: 1.25
Time: 10.935, x: 9.58944e-08, y: -6.01046, z: 1.25
Time: 11.044, x: 6.21377e-08, y: -5.9917, z: 1.25
Time: 11.113, x: 4.82282e-08, y: -5.97654, z: 1.25
Time: 11.195, x: 4.54657e-08, y: -5.96118, z: 1.25
Time: 11.277, x: 6.04558e-08, y: -5.94223, z: 1.25
Time: 16.39, x: -7.16938e-06, y: -5.54666, z: 1.25
Time: 16.457, x: -6.88564e-06, y: -5.54598, z: 1.25
Time: 16.525, x: -6.6239e-06, y: -5.5455, z: 1.25
Time: 16.585, x: -6.4178e-06, y: -5.54502, z: 1.25
Time: 16.649, x: -6.21291e-06, y: -5.54446, z: 1.25
Time: 16.712, x: -6.02155e-06, y: -5.54404, z: 1.25
Time: 16.774, x: -5.84544e-06, y: -5.54359, z: 1.25
Time: 16.837, x: -5.67519e-06, y: -5.54324, z: 1.25
Time: 16.894, x: -5.52953e-06, y: -5.54294, z: 1.25
Time: 16.957, x: -5.37567e-06, y: -5.54272, z: 1.25
Time: 17.025, x: -5.21898e-06, y: -5.54251, z: 1.25
Time: 17.091, x: -5.0747e-06, y: -5.54235, z: 1.24999
Time: 17.155, x: -4.94437e-06, y: -5.54203, z: 1.24998
Time: 17.217, x: -4.82609e-06, y: -5.54157, z: 1.24998
Time: 17.284, x: -4.70946e-06, y: -5.54039, z: 1.24998
Time: 17.343, x: -4.61698e-06, y: -5.53873, z: 1.24998
Time: 17.399, x: -4.54137e-06, y: -5.53608, z: 1.24998
Time: 17.454, x: -4.48008e-06, y: -5.53216, z: 1.24998
Time: 17.51, x: -4.43221e-06, y: -5.52654, z: 1.24999
Time: 17.571, x: -4.38684e-06, y: -5.51967, z: 1.24999
Time: 17.628, x: -4.36445e-06, y: -5.51075, z: 1.24999
Time: 17.692, x: -4.33863e-06, y: -5.50086, z: 1.25
Time: 17.755, x: -4.36367e-06, y: -5.48457, z: 1.25
Time: 17.82, x: -4.36682e-06, y: -5.47073, z: 1.25
Time: 17.876, x: -4.39537e-06, y: -5.45554, z: 1.25
Time: 17.937, x: -4.4233e-06, y: -5.43949, z: 1.25
Time: 18.001, x: -4.50871e-06, y: -5.41589, z: 1.25
Time: 18.062, x: -4.55588e-06, y: -5.39783, z: 1.25
Time: 18.12, x: -4.61498e-06, y: -5.37918, z: 1.25
Time: 18.185, x: -4.66611e-06, y: -5.36012, z: 1.25
Time: 18.236, x: -4.74434e-06, y: -5.34045, z: 1.25
Time: 18.294, x: -4.81516e-06, y: -5.31898, z: 1.25
Time: 18.35, x: -4.85736e-06, y: -5.29967, z: 1.25
Time: 18.402, x: -4.89744e-06, y: -5.27956, z: 1.25
Time: 18.456, x: -4.86793e-06, y: -5.26716, z: 1.25
Time: 18.507, x: -4.8709e-06, y: -5.24845, z: 1.24999
Time: 18.56, x: -4.84146e-06, y: -5.23097, z: 1.24999
Time: 18.608, x: -4.80439e-06, y: -5.21382, z: 1.24999
Time: 18.657, x: -4.74146e-06, y: -5.20259, z: 1.24999
Time: 18.706, x: -4.68183e-06, y: -5.18613, z: 1.24999
Time: 18.758, x: -4.60615e-06, y: -5.17132, z: 1.25
