Time: 3.507, x: -0.000254384, y: -7.85741, z: 1.25751, phi: -0.00213227, theta: 2.69127e-06, psi: -1.3293e-06
Time: 3.551, x: -0.000195476, y: -7.85016, z: 1.25663, phi: -0.0019405, theta: -1.42401e-05, psi: -1.24178e-06
Time: 3.601, x: -0.000101582, y: -7.83824, z: 1.25506, phi: -0.00153947, theta: -4.03186e-05, psi: -1.13082e-06
Time: 3.651, x: -3.83508e-05, y: -7.82987, z: 1.25401, phi: -0.00122682, theta: -5.7127e-05, psi: -1.07485e-06
Time: 3.701, x: 4.39501e-05, y: -7.81838, z: 1.25272, phi: -0.000773562, theta: -7.80547e-05, psi: -1.02376e-06
Time: 3.75, x: 0.000125739, y: -7.80602, z: 1.25164, phi: -0.0003186, theta: -9.72027e-05, psi: -1.00276e-06
Time: 3.797, x: 0.000174143, y: -7.7981, z: 1.25112, phi: -4.92225e-05, theta: -0.000107611, psi: -1.00434e-06
Time: 3.846, x: 0.000243701, y: -7.78561, z: 1.25055, phi: 0.000372432, theta: -0.000121182, psi: -1.01862e-06
Time: 3.896, x: 0.000285483, y: -7.77725, z: 1.2503, phi: 0.000654487, theta: -0.000128479, psi: -1.03219e-06
Time: 3.946, x: 0.000340984, y: -7.76469, z: 1.25011, phi: 0.00108349, theta: -0.000137011, psi: -1.05323e-06
Time: 3.993, x: 0.00038894, y: -7.75177, z: 1.25005, phi: 0.00152812, theta: -0.000142929, psi: -1.07342e-06
Time: 4.04, x: 0.000415716, y: -7.74317, z: 1.25006, phi: 0.00181538, theta: -0.00014534, psi: -1.08708e-06
Time: 4.087, x: 0.000450665, y: -7.72915, z: 1.25013, phi: 0.00230684, theta: -0.000146797, psi: -1.10417e-06
Time: 4.134, x: 0.000466964, y: -7.72049, z: 1.25017, phi: 0.00265842, theta: -0.000146226, psi: -1.10466e-06
Time: 4.178, x: 0.000479552, y: -7.71161, z: 1.2502, phi: 0.00304857, theta: -0.00014451, psi: -1.0994e-06
Time: 4.227, x: 0.000490552, y: -7.69856, z: 1.25022, phi: 0.00364483, theta: -0.00014001, psi: -1.09216e-06
Time: 4.272, x: 0.00049304, y: -7.68928, z: 1.25022, phi: 0.00407344, theta: -0.000135418, psi: -1.09203e-06
Time: 4.318, x: 0.00048932, y: -7.6764, z: 1.2502, phi: 0.00461991, theta: -0.00012717, psi: -1.10854e-06
Time: 4.365, x: 0.000482249, y: -7.66774, z: 1.25018, phi: 0.00492445, theta: -0.000120554, psi: -1.13456e-06
Time: 4.412, x: 0.000464858, y: -7.65468, z: 1.25014, phi: 0.00525484, theta: -0.000109003, psi: -1.19337e-06
Time: 4.458, x: 0.000449912, y: -7.64645, z: 1.25012, phi: 0.00537999, theta: -0.000100887, psi: -1.23709e-06
Time: 4.506, x: 0.000421617, y: -7.63394, z: 1.25009, phi: 0.00548995, theta: -8.75264e-05, psi: -1.29822e-06
Time: 4.552, x: 0.000400185, y: -7.62593, z: 1.25008, phi: 0.00552303, theta: -7.84385e-05, psi: -1.32705e-06
Time: 4.596, x: 0.000364486, y: -7.61419, z: 1.25006, phi: 0.00551264, theta: -6.45015e-05, psi: -1.35088e-06
Time: 4.644, x: 0.000336796, y: -7.60598, z: 1.25005, phi: 0.00547098, theta: -5.44659e-05, psi: -1.35347e-06
Time: 4.692, x: 0.000294264, y: -7.59436, z: 1.25005, phi: 0.00535379, theta: -3.98926e-05, psi: -1.33675e-06
Time: 4.739, x: 0.000263951, y: -7.58658, z: 1.25004, phi: 0.00523361, theta: -2.99868e-05, psi: -1.31278e-06
Time: 4.786, x: 0.000216998, y: -7.57507, z: 1.25005, phi: 0.00499359, theta: -1.5463e-05, psi: -1.26196e-06
Time: 4.833, x: 0.000185958, y: -7.5677, z: 1.25005, phi: 0.00481982, theta: -6.37507e-06, psi: -1.22091e-06
Time: 4.878, x: 0.000140451, y: -7.55705, z: 1.25005, phi: 0.004578, theta: 6.31566e-06, psi: -1.15138e-06
Time: 4.926, x: 0.000109466, y: -7.54983, z: 1.25005, phi: 0.00442048, theta: 1.45538e-05, psi: -1.09932e-06
Time: 4.974, x: 6.3431e-05, y: -7.53902, z: 1.25006, phi: 0.00416039, theta: 2.62496e-05, psi: -1.01619e-06
Time: 5.021, x: 3.23201e-05, y: -7.53155, z: 1.25006, phi: 0.00395718, theta: 3.38051e-05, psi: -9.56216e-07
Time: 5.069, x: -1.12108e-05, y: -7.52073, z: 1.25006, phi: 0.00365461, theta: 4.37928e-05, psi: -8.68333e-07
Time: 5.117, x: -3.79663e-05, y: -7.51375, z: 1.25007, phi: 0.00345809, theta: 4.95455e-05, psi: -8.12234e-07
Time: 5.164, x: -7.7743e-05, y: -7.50269, z: 1.25007, phi: 0.00313729, theta: 5.74794e-05, psi: -7.24809e-07
Time: 5.211, x: -0.000100667, y: -7.49578, z: 1.25007, phi: 0.00293709, theta: 6.16459e-05, psi: -6.72013e-07
Time: 5.258, x: -0.000133677, y: -7.4848, z: 1.25007, phi: 0.0026451, theta: 6.69889e-05, psi: -5.92964e-07
Time: 5.306, x: -0.000152485, y: -7.47774, z: 1.25007, phi: 0.00246851, theta: 6.95934e-05, psi: -5.45331e-07
Time: 5.352, x: -0.00017652, y: -7.46734, z: 1.25007, phi: 0.00220469, theta: 7.2255e-05, psi: -4.78202e-07
Time: 5.399, x: -0.000190258, y: -7.46028, z: 1.25008, phi: 0.00202119, theta: 7.3279e-05, psi: -4.34135e-07
Time: 5.448, x: -0.000206647, y: -7.44986, z: 1.25008, phi: 0.00177247, theta: 7.36652e-05, psi: -3.73149e-07
Time: 5.494, x: -0.000215143, y: -7.44277, z: 1.25008, phi: 0.00162098, theta: 7.3192e-05, psi: -3.34905e-07
Time: 5.541, x: -0.000223713, y: -7.43248, z: 1.25008, phi: 0.0014218, theta: 7.15162e-05, psi: -2.84267e-07
Time: 5.586, x: -0.00022711, y: -7.42533, z: 1.25008, phi: 0.00131518, theta: 6.9722e-05, psi: -2.53749e-07
Time: 5.634, x: -0.000228476, y: -7.41853, z: 1.25008, phi: 0.001234, theta: 6.75613e-05, psi: -2.28162e-07
Time: 5.681, x: -0.000226978, y: -7.40733, z: 1.25008, phi: 0.00112924, theta: 6.31433e-05, psi: -1.92102e-07
Time: 5.727, x: -0.000221638, y: -7.39681, z: 1.25008, phi: 0.00107173, theta: 5.81178e-05, psi: -1.65183e-07
Time: 5.772, x: -0.000215717, y: -7.38931, z: 1.25008, phi: 0.00104798, theta: 5.41191e-05, psi: -1.49571e-07
Time: 5.816, x: -0.000208376, y: -7.38196, z: 1.25008, phi: 0.00105083, theta: 4.99373e-05, psi: -1.37361e-07
Time: 5.866, x: -0.000194725, y: -7.37087, z: 1.25008, phi: 0.00108365, theta: 4.32339e-05, psi: -1.23446e-07
Time: 5.913, x: -0.000183755, y: -7.36323, z: 1.25008, phi: 0.00111189, theta: 3.83862e-05, psi: -1.16166e-07
Time: 5.957, x: -0.000171954, y: -7.35576, z: 1.25008, phi: 0.00115019, theta: 3.34998e-05, psi: -1.10639e-07
Time: 6.011, x: -0.000150001, y: -7.34309, z: 1.25008, phi: 0.00121527, theta: 2.52098e-05, psi: -1.03174e-07
Time: 6.06, x: -0.000135209, y: -7.33513, z: 1.25008, phi: 0.00124525, theta: 2.00222e-05, psi: -9.89939e-08
Time: 6.106, x: -0.000111501, y: -7.32291, z: 1.25008, phi: 0.00128582, theta: 1.21836e-05, psi: -9.29003e-08
Time: 6.15, x: -9.38302e-05, y: -7.31402, z: 1.2501, phi: 0.00130004, theta: 6.78504e-06, psi: -8.7995e-08
Time: 6.205, x: -7.14199e-05, y: -7.30284, z: 1.25012, phi: 0.00137042, theta: 3.2198e-07, psi: -8.16427e-08
Time: 6.257, x: -5.63195e-05, y: -7.29529, z: 1.25012, phi: 0.00145656, theta: -3.86309e-06, psi: -7.83019e-08
Time: 6.304, x: -3.3316e-05, y: -7.28359, z: 1.25013, phi: 0.00162408, theta: -1.00144e-05, psi: -7.69199e-08
Time: 6.349, x: -1.2524e-05, y: -7.27262, z: 1.25016, phi: 0.00177207, theta: -1.5179e-05, psi: -8.16056e-08
Time: 6.399, x: 1.4921e-06, y: -7.26491, z: 1.25018, phi: 0.00186021, theta: -1.84545e-05, psi: -8.76976e-08
Time: 6.446, x: 2.24052e-05, y: -7.25281, z: 1.2502, phi: 0.00201712, theta: -2.30868e-05, psi: -9.88198e-08
Time: 6.494, x: 3.52801e-05, y: -7.24487, z: 1.25021, phi: 0.00214685, theta: -2.579e-05, psi: -1.06229e-07
Time: 6.542, x: 5.28706e-05, y: -7.23316, z: 1.2502, phi: 0.0023135, theta: -2.9233e-05, psi: -1.1928e-07
Time: 6.59, x: 6.40483e-05, y: -7.225, z: 1.2502, phi: 0.00239846, theta: -3.12403e-05, psi: -1.2957e-07
Time: 6.638, x: 7.88961e-05, y: -7.21289, z: 1.25018, phi: 0.00243717, theta: -3.36069e-05, psi: -1.45705e-07
Time: 6.683, x: 8.69833e-05, y: -7.20538, z: 1.25016, phi: 0.0024193, theta: -3.4697e-05, psi: -1.54016e-07
Time: 6.729, x: 9.7768e-05, y: -7.1937, z: 1.25014, phi: 0.00235748, theta: -3.58171e-05, psi: -1.60656e-07
Time: 6.776, x: 0.000103666, y: -7.18599, z: 1.25013, phi: 0.00231397, theta: -3.618e-05, psi: -1.59402e-07
Time: 6.824, x: 0.000110605, y: -7.17452, z: 1.25011, phi: 0.00227574, theta: -3.61813e-05, psi: -1.49027e-07
Time: 6.871, x: 0.000114044, y: -7.1668, z: 1.2501, phi: 0.00228592, theta: -3.58351e-05, psi: -1.37207e-07
Time: 6.916, x: 0.000117434, y: -7.15491, z: 1.25009, phi: 0.00231785, theta: -3.47924e-05, psi: -1.1701e-07
Time: 6.964, x: 0.000118425, y: -7.14719, z: 1.25008, phi: 0.00235982, theta: -3.38117e-05, psi: -1.04584e-07
Time: 7.011, x: 0.000118184, y: -7.1355, z: 1.25007, phi: 0.00246248, theta: -3.19023e-05, psi: -8.91739e-08
Time: 7.058, x: 0.000116971, y: -7.128, z: 1.25007, phi: 0.00253702, theta: -3.04262e-05, psi: -8.32338e-08
Time: 7.105, x: 0.000113387, y: -7.11591, z: 1.25007, phi: 0.00267199, theta: -2.77067e-05, psi: -8.12238e-08
Time: 7.152, x: 0.000110025, y: -7.10801, z: 1.25007, phi: 0.00276081, theta: -2.57289e-05, psi: -8.52429e-08
Time: 7.198, x: 0.000103495, y: -7.09597, z: 1.25007, phi: 0.00288248, theta: -2.24642e-05, psi: -9.88439e-08
Time: 7.246, x: 9.85349e-05, y: -7.08831, z: 1.25007, phi: 0.00294257, theta: -2.02606e-05, psi: -1.11187e-07
Time: 7.293, x: 9.00061e-05, y: -7.07676, z: 1.25007, phi: 0.00299263, theta: -1.67914e-05, psi: -1.33141e-07
Time: 7.34, x: 8.36145e-05, y: -7.06894, z: 1.25007, phi: 0.00300484, theta: -1.43763e-05, psi: -1.48412e-07
Time: 7.38, x: 7.69991e-05, y: -7.06135, z: 1.25007, phi: 0.00301538, theta: -1.20075e-05, psi: -1.62341e-07
Time: 7.43, x: 6.63962e-05, y: -7.04989, z: 1.25007, phi: 0.00303987, theta: -8.4338e-06, psi: -1.80453e-07
Time: 7.479, x: 5.50758e-05, y: -7.03828, z: 1.25007, phi: 0.00305379, theta: -4.8227e-06, psi: -1.94979e-07
Time: 7.525, x: 4.75503e-05, y: -7.03076, z: 1.25007, phi: 0.00304556, theta: -2.49151e-06, psi: -2.02118e-07
Time: 7.575, x: 3.58596e-05, y: -7.01922, z: 1.25006, phi: 0.00303297, theta: 9.27236e-07, psi: -2.10076e-07
Time: 7.623, x: 2.80955e-05, y: -7.01156, z: 1.25006, phi: 0.00302684, theta: 3.05876e-06, psi: -2.1358e-07
Time: 7.666, x: 1.66456e-05, y: -7.0001, z: 1.25005, phi: 0.00300399, theta: 6.02364e-06, psi: -2.16248e-07
Time: 7.713, x: 9.2261e-06, y: -6.99249, z: 1.25005, phi: 0.00297295, theta: 7.82294e-06, psi: -2.16453e-07
Time: 7.76, x: -1.27425e-06, y: -6.9813, z: 1.25006, phi: 0.00292644, theta: 1.02321e-05, psi: -2.14096e-07
Time: 7.808, x: -8.21315e-06, y: -6.97353, z: 1.25006, phi: 0.00289319, theta: 1.17505e-05, psi: -2.10407e-07
Time: 7.856, x: -1.75359e-05, y: -6.96241, z: 1.25006, phi: 0.00283511, theta: 1.36696e-05, psi: -2.02849e-07
Time: 7.903, x: -2.32293e-05, y: -6.95508, z: 1.25007, phi: 0.0028055, theta: 1.47547e-05, psi: -1.96794e-07
Time: 7.95, x: -2.87901e-05, y: -6.94736, z: 1.25007, phi: 0.00277672, theta: 1.57318e-05, psi: -1.89842e-07
Time: 7.998, x: -3.6281e-05, y: -6.93572, z: 1.25007, phi: 0.00272587, theta: 1.68768e-05, psi: -1.7866e-07
Time: 8.044, x: -4.04864e-05, y: -6.92824, z: 1.25007, phi: 0.00269656, theta: 1.74035e-05, psi: -1.71145e-07
Time: 8.092, x: -4.5763e-05, y: -6.91723, z: 1.25008, phi: 0.00263539, theta: 1.78851e-05, psi: -1.59265e-07
Time: 8.139, x: -4.98543e-05, y: -6.90644, z: 1.25008, phi: 0.0025367, theta: 1.80295e-05, psi: -1.45691e-07
Time: 8.185, x: -5.21455e-05, y: -6.89861, z: 1.25008, phi: 0.00244545, theta: 1.79393e-05, psi: -1.34204e-07
Time: 8.232, x: -5.39348e-05, y: -6.89039, z: 1.25008, phi: 0.00235888, theta: 1.76796e-05, psi: -1.20958e-07
Time: 8.279, x: -5.53711e-05, y: -6.87923, z: 1.25008, phi: 0.00225875, theta: 1.70746e-05, psi: -1.02098e-07
Time: 8.326, x: -5.57114e-05, y: -6.87178, z: 1.25008, phi: 0.00220286, theta: 1.65186e-05, psi: -8.9674e-08
Time: 8.373, x: -5.55952e-05, y: -6.86473, z: 1.25008, phi: 0.00216733, theta: 1.58886e-05, psi: -7.85684e-08
Time: 8.421, x: -5.4527e-05, y: -6.85316, z: 1.25008, phi: 0.00212926, theta: 1.46642e-05, psi: -6.26332e-08
Time: 8.468, x: -5.2573e-05, y: -6.84217, z: 1.25008, phi: 0.00210055, theta: 1.33054e-05, psi: -5.06334e-08
Time: 8.514, x: -5.07695e-05, y: -6.8347, z: 1.25008, phi: 0.00209042, theta: 1.22911e-05, psi: -4.42764e-08
Time: 8.56, x: -4.86138e-05, y: -6.82723, z: 1.25008, phi: 0.00208063, theta: 1.12195e-05, psi: -3.91982e-08
Time: 8.606, x: -4.47884e-05, y: -6.81601, z: 1.25008, phi: 0.0020572, theta: 9.52796e-06, psi: -3.34467e-08
Time: 8.655, x: -4.05147e-05, y: -6.80516, z: 1.25008, phi: 0.00204432, theta: 7.8166e-06, psi: -2.96438e-08
Time: 8.703, x: -3.72825e-05, y: -6.79766, z: 1.25008, phi: 0.00203556, theta: 6.60336e-06, psi: -2.78213e-08
Time: 8.749, x: -3.21869e-05, y: -6.78659, z: 1.25008, phi: 0.00202576, theta: 4.80687e-06, psi: -2.61736e-08
Time: 8.794, x: -2.84577e-05, y: -6.77887, z: 1.25008, phi: 0.0020351, theta: 3.57735e-06, psi: -2.5675e-08
Time: 8.84, x: -2.42249e-05, y: -6.77035, z: 1.25008, phi: 0.00204919, theta: 2.2511e-06, psi: -2.59508e-08
Time: 8.887, x: -2.04161e-05, y: -6.76281, z: 1.25008, phi: 0.00205831, theta: 1.10728e-06, psi: -2.695e-08
Time: 8.933, x: -1.46564e-05, y: -6.75149, z: 1.25008, phi: 0.00208071, theta: -5.51813e-07, psi: -2.94803e-08
Time: 8.981, x: -9.23463e-06, y: -6.74075, z: 1.25008, phi: 0.00208804, theta: -2.03803e-06, psi: -3.2683e-08
Time: 9.028, x: -5.58506e-06, y: -6.73339, z: 1.25008, phi: 0.00207436, theta: -2.9952e-06, psi: -3.48563e-08
Time: 9.076, x: -3.21989e-07, y: -6.72243, z: 1.25008, phi: 0.00202774, theta: -4.30653e-06, psi: -3.70942e-08
Time: 9.119, x: 3.07473e-06, y: -6.71505, z: 1.25008, phi: 0.00200161, theta: -5.10172e-06, psi: -3.73257e-08
Time: 9.164, x: 7.85731e-06, y: -6.70406, z: 1.25008, phi: 0.00198883, theta: -6.14754e-06, psi: -3.6248e-08
Time: 9.213, x: 1.09469e-05, y: -6.69646, z: 1.25008, phi: 0.00201451, theta: -6.7737e-06, psi: -3.51584e-08
Time: 9.259, x: 1.52092e-05, y: -6.68503, z: 1.25008, phi: 0.0020734, theta: -7.57277e-06, psi: -3.50181e-08
Time: 9.303, x: 1.77803e-05, y: -6.6774, z: 1.25008, phi: 0.00210635, theta: -8.00718e-06, psi: -3.6738e-08
Time: 9.35, x: 2.01201e-05, y: -6.66977, z: 1.25008, phi: 0.00213677, theta: -8.35896e-06, psi: -3.97399e-08
