Time: 7.998, Fy: 0.125377, U1: 27.3483, U2: 0.00439314, U3: -1.90626e-05, U4: 2.11048e-07
Time: 8.044, Fy: 0.127057, U1: 27.3485, U2: 0.0034808, U3: -1.84156e-05, U4: 1.95816e-07
Time: 8.092, Fy: 0.125376, U1: 27.3485, U2: 0.00750179, U3: -1.71494e-05, U4: 1.09125e-07
Time: 8.139, Fy: 0.126173, U1: 27.3487, U2: 0.00802384, U3: -1.59094e-05, U4: -3.46193e-08
Time: 8.185, Fy: 0.127053, U1: 27.3488, U2: 0.00718671, U3: -1.51464e-05, U4: -1.10504e-07
Time: 8.232, Fy: 0.126171, U1: 27.3488, U2: 0.00925786, U3: -1.38655e-05, U4: -1.79576e-07
Time: 8.279, Fy: 0.126171, U1: 27.3489, U2: 0.00816456, U3: -1.21247e-05, U4: -2.42679e-07
Time: 8.326, Fy: 0.12617, U1: 27.3489, U2: 0.00649907, U3: -1.08638e-05, U4: -2.34364e-07
Time: 8.373, Fy: 0.126171, U1: 27.3489, U2: 0.00796324, U3: -9.69891e-06, U4: -2.09781e-07
Time: 8.421, Fy: 0.125371, U1: 27.3489, U2: 0.00684137, U3: -7.2386e-06, U4: -1.50155e-07
Time: 8.468, Fy: 0.12617, U1: 27.3489, U2: 0.00547451, U3: -5.46284e-06, U4: -6.06834e-08
Time: 8.514, Fy: 0.127052, U1: 27.349, U2: 0.0076008, U3: -4.70993e-06, U4: -5.48e-09
Time: 8.56, Fy: 0.127052, U1: 27.349, U2: 0.0068681, U3: -3.52334e-06, U4: 3.28108e-08
Time: 8.606, Fy: 0.127052, U1: 27.349, U2: 0.00601353, U3: -1.56775e-06, U4: 8.911e-08
Time: 8.655, Fy: 0.124648, U1: 27.3489, U2: 0.00875714, U3: 2.02281e-06, U4: 1.33669e-07
Time: 8.703, Fy: 0.125372, U1: 27.3489, U2: 0.00722884, U3: 2.92771e-06, U4: 1.53611e-07
Time: 8.749, Fy: 0.127052, U1: 27.349, U2: 0.00579087, U3: 3.28958e-06, U4: 1.9618e-07
Time: 8.794, Fy: 0.128028, U1: 27.3491, U2: 0.00779907, U3: 3.48197e-06, U4: 2.26524e-07
Time: 8.84, Fy: 0.127053, U1: 27.349, U2: 0.00589263, U3: 4.82098e-06, U4: 2.59617e-07
Time: 8.887, Fy: 0.126171, U1: 27.3489, U2: 0.00479975, U3: 6.1996e-06, U4: 2.95753e-07
Time: 8.933, Fy: 0.127053, U1: 27.3489, U2: 0.00361531, U3: 7.35846e-06, U4: 3.37784e-07
Time: 8.981, Fy: 0.125372, U1: 27.3488, U2: 0.00736574, U3: 9.11401e-06, U4: 3.57503e-07
Time: 9.028, Fy: 0.126171, U1: 27.3488, U2: 0.00744731, U3: 9.37831e-06, U4: 3.46729e-07
Time: 9.076, Fy: 0.125372, U1: 27.3489, U2: 0.0109501, U3: 9.96887e-06, U4: 2.81475e-07
Time: 9.119, Fy: 0.130305, U1: 27.3497, U2: 0.00923593, U3: 9.02523e-06, U4: 2.29746e-07
Time: 9.164, Fy: 0.128027, U1: 27.3492, U2: 0.00556287, U3: 9.46922e-06, U4: 1.54172e-07
Time: 9.213, Fy: 0.124649, U1: 27.3488, U2: 0.00641586, U3: 1.0175e-05, U4: 1.4233e-07
Time: 9.259, Fy: 0.127055, U1: 27.3486, U2: 0.00564299, U3: 1.00502e-05, U4: 2.25236e-07
Time: 9.303, Fy: 0.129111, U1: 27.349, U2: 0.00809716, U3: 9.84858e-06, U4: 3.04575e-07
Time: 9.35, Fy: 0.126173, U1: 27.3486, U2: 0.00681, U3: 9.71213e-06, U4: 3.58389e-07
Time: 9.392, Fy: 0.131639, U1: 27.3499, U2: 0.00569788, U3: 9.42725e-06, U4: 4.50111e-07
Time: 9.439, Fy: 0.126174, U1: 27.3486, U2: 0.00709045, U3: 8.84675e-06, U4: 4.60996e-07
Time: 9.486, Fy: 0.126175, U1: 27.3484, U2: 0.0062711, U3: 8.10579e-06, U4: 5.17065e-07
Time: 9.534, Fy: 0.125376, U1: 27.3484, U2: 0.00408125, U3: 7.42121e-06, U4: 5.39289e-07
Time: 9.581, Fy: 0.126175, U1: 27.3485, U2: 0.00708695, U3: 6.7465e-06, U4: 5.62947e-07
Time: 9.627, Fy: 0.127056, U1: 27.3486, U2: 0.00663351, U3: 6.37027e-06, U4: 5.79071e-07
Time: 9.672, Fy: 0.12803, U1: 27.349, U2: 0.00601914, U3: 5.73926e-06, U4: 5.77676e-07
Time: 9.718, Fy: 0.127054, U1: 27.3489, U2: 0.0035185, U3: 4.92774e-06, U4: 5.42026e-07
Time: 9.765, Fy: 0.126172, U1: 27.3489, U2: 0.00691933, U3: 3.60374e-06, U4: 4.89188e-07
Time: 9.811, Fy: 0.127053, U1: 27.349, U2: 0.00664931, U3: 3.07021e-06, U4: 4.59372e-07
Time: 9.858, Fy: 0.126171, U1: 27.349, U2: 0.00608945, U3: 1.86267e-06, U4: 3.78728e-07
Time: 9.905, Fy: 0.126171, U1: 27.349, U2: 0.00826728, U3: 1.23269e-06, U4: 3.08324e-07
Time: 9.952, Fy: 0.126171, U1: 27.349, U2: 0.00842254, U3: 3.80006e-07, U4: 2.16422e-07
Time: 10, Fy: 0.125372, U1: 27.349, U2: 0.00674842, U3: -6.34826e-07, U4: 1.3788e-07
