Time: 380.649, x: 2.75271, y: 2.74943, z: 1.25001
Time: 380.686, x: 2.75948, y: 2.7562, z: 1.25001
Time: 380.724, x: 2.76928, y: 2.76598, z: 1.25001
Time: 380.762, x: 2.7791, y: 2.77579, z: 1.25001
Time: 380.8, x: 2.78895, y: 2.78563, z: 1.25001
Time: 380.838, x: 2.79889, y: 2.79554, z: 1.25001
Time: 380.876, x: 2.80879, y: 2.80543, z: 1.25001
Time: 380.914, x: 2.81869, y: 2.81532, z: 1.25001
Time: 380.952, x: 2.8286, y: 2.82522, z: 1.25001
Time: 380.99, x: 2.83856, y: 2.83516, z: 1.25001
Time: 381.028, x: 2.84851, y: 2.8451, z: 1.25001
Time: 381.066, x: 2.85842, y: 2.85501, z: 1.25001
Time: 381.105, x: 2.86834, y: 2.86492, z: 1.25001
Time: 381.144, x: 2.87826, y: 2.87484, z: 1.25001
Time: 381.183, x: 2.88809, y: 2.88466, z: 1.25001
Time: 381.222, x: 2.89802, y: 2.8946, z: 1.25001
Time: 381.261, x: 2.90785, y: 2.90443, z: 1.25001
Time: 381.3, x: 2.91768, y: 2.91427, z: 1.25001
Time: 381.339, x: 2.9275, y: 2.92409, z: 1.25001
Time: 381.378, x: 2.93732, y: 2.93391, z: 1.25001
Time: 381.418, x: 2.94722, y: 2.94384, z: 1.25001
Time: 381.46, x: 2.9571, y: 2.95371, z: 1.25001
Time: 381.502, x: 2.96679, y: 2.96342, z: 1.25001
Time: 381.542, x: 2.9764, y: 2.97303, z: 1.25001
Time: 381.583, x: 2.9861, y: 2.98275, z: 1.25001
Time: 381.625, x: 2.99889, y: 2.99556, z: 1.25001
Time: 381.666, x: 3.00871, y: 3.00538, z: 1.25001
Time: 381.708, x: 3.01824, y: 3.01493, z: 1.25001
Time: 381.75, x: 3.02784, y: 3.02454, z: 1.25001
Time: 381.793, x: 3.04035, y: 3.03706, z: 1.25001
Time: 381.835, x: 3.05013, y: 3.04686, z: 1.25001
Time: 381.879, x: 3.05962, y: 3.05635, z: 1.25001
Time: 381.922, x: 3.07185, y: 3.0686, z: 1.25001
Time: 381.966, x: 3.08184, y: 3.07859, z: 1.25001
