Time: 2.878, x: 0.584124, y: 0.582718, z: 1.20572, phi: -0.00365213, theta: 0.00365874, psi: -1.21231e-05
Time: 2.914, x: 0.593219, y: 0.591512, z: 1.22263, phi: -0.00391002, theta: 0.00377998, psi: -1.12407e-05
Time: 2.95, x: 0.599738, y: 0.59782, z: 1.23358, phi: -0.00404769, theta: 0.00382206, psi: -1.06572e-05
Time: 2.985, x: 0.609241, y: 0.607022, z: 1.24776, phi: -0.00418096, theta: 0.00382164, psi: -9.88147e-06
Time: 3.02, x: 0.618844, y: 0.616333, z: 1.26001, phi: -0.00423636, theta: 0.00375212, psi: -9.20431e-06
Time: 3.057, x: 0.628296, y: 0.625514, z: 1.27009, phi: -0.00420922, theta: 0.00361277, psi: -8.63423e-06
Time: 3.094, x: 0.635067, y: 0.632101, z: 1.27614, phi: -0.0041581, theta: 0.00349089, psi: -8.29803e-06
Time: 3.131, x: 0.644925, y: 0.641708, z: 1.28343, phi: -0.00404844, theta: 0.00329465, psi: -7.91903e-06
Time: 3.168, x: 0.65487, y: 0.651423, z: 1.28894, phi: -0.00389877, theta: 0.00307672, psi: -7.64044e-06
Time: 3.204, x: 0.664894, y: 0.661239, z: 1.29251, phi: -0.00372331, theta: 0.00285196, psi: -7.43893e-06
Time: 3.24, x: 0.674993, y: 0.671153, z: 1.29415, phi: -0.00352334, theta: 0.00261921, psi: -7.25809e-06
Time: 3.275, x: 0.681764, y: 0.677813, z: 1.29417, phi: -0.0033723, theta: 0.00245328, psi: -7.11584e-06
Time: 3.311, x: 0.691974, y: 0.687877, z: 1.2926, phi: -0.00311594, theta: 0.00218237, psi: -6.83334e-06
Time: 3.349, x: 0.702241, y: 0.698022, z: 1.2891, phi: -0.00281914, theta: 0.00187819, psi: -6.45766e-06
Time: 3.388, x: 0.712557, y: 0.708242, z: 1.28387, phi: -0.002499, theta: 0.00156016, psi: -6.0363e-06
Time: 3.428, x: 0.722917, y: 0.718531, z: 1.27755, phi: -0.00215892, theta: 0.00123196, psi: -5.61544e-06
Time: 3.47, x: 0.733313, y: 0.728885, z: 1.27101, phi: -0.00178378, theta: 0.000875401, psi: -5.20745e-06
Time: 3.512, x: 0.746946, y: 0.742504, z: 1.26314, phi: -0.00130364, theta: 0.000438381, psi: -4.80284e-06
Time: 3.554, x: 0.757655, y: 0.753236, z: 1.25797, phi: -0.000984363, theta: 0.000174251, psi: -4.64694e-06
Time: 3.596, x: 0.768101, y: 0.763729, z: 1.25388, phi: -0.000727946, theta: -1.16725e-05, psi: -4.60118e-06
Time: 3.637, x: 0.778545, y: 0.774245, z: 1.25073, phi: -0.000501762, theta: -0.000157771, psi: -4.56858e-06
Time: 3.678, x: 0.788984, y: 0.784777, z: 1.24849, phi: -0.000277048, theta: -0.000300503, psi: -4.46701e-06
Time: 3.72, x: 0.802621, y: 0.798562, z: 1.24686, phi: 1.92488e-05, theta: -0.0004917, psi: -4.19018e-06
Time: 3.76, x: 0.813298, y: 0.809373, z: 1.24646, phi: 0.000225655, theta: -0.000614705, psi: -3.89083e-06
Time: 3.799, x: 0.823688, y: 0.819906, z: 1.24661, phi: 0.000401724, theta: -0.000708509, psi: -3.56704e-06
Time: 3.838, x: 0.834056, y: 0.830427, z: 1.24707, phi: 0.000569039, theta: -0.000795113, psi: -3.24213e-06
Time: 3.877, x: 0.844136, y: 0.840662, z: 1.24767, phi: 0.000739011, theta: -0.000890167, psi: -2.93945e-06
Time: 3.916, x: 0.85472, y: 0.851413, z: 1.24835, phi: 0.000942655, theta: -0.00102168, psi: -2.64778e-06
Time: 3.955, x: 0.865008, y: 0.861868, z: 1.24898, phi: 0.00115918, theta: -0.0011742, psi: -2.39961e-06
Time: 3.994, x: 0.875261, y: 0.872287, z: 1.24952, phi: 0.00131763, theta: -0.00126508, psi: -2.18382e-06
Time: 4.033, x: 0.885475, y: 0.882665, z: 1.24995, phi: 0.001387, theta: -0.00125943, psi: -1.98073e-06
Time: 4.072, x: 0.895649, y: 0.893, z: 1.25026, phi: 0.00135246, theta: -0.00114266, psi: -1.77851e-06
Time: 4.111, x: 0.905788, y: 0.903294, z: 1.25046, phi: 0.0012667, theta: -0.000977554, psi: -1.60405e-06
Time: 4.15, x: 0.915899, y: 0.913551, z: 1.25057, phi: 0.00120033, theta: -0.000847458, psi: -1.50293e-06
Time: 4.189, x: 0.925986, y: 0.923773, z: 1.25061, phi: 0.00116377, theta: -0.000766582, psi: -1.48221e-06
Time: 4.228, x: 0.936049, y: 0.93396, z: 1.25061, phi: 0.00110936, theta: -0.000680753, psi: -1.48924e-06
Time: 4.267, x: 0.946092, y: 0.944113, z: 1.25057, phi: 0.000993592, theta: -0.000538267, psi: -1.46083e-06
Time: 4.306, x: 0.956118, y: 0.954236, z: 1.25051, phi: 0.000844645, theta: -0.000367599, psi: -1.39563e-06
Time: 4.345, x: 0.966134, y: 0.964334, z: 1.25046, phi: 0.000736579, theta: -0.000250414, psi: -1.34798e-06
Time: 4.384, x: 0.976144, y: 0.974412, z: 1.2504, phi: 0.000705542, theta: -0.000227146, psi: -1.35107e-06
Time: 4.423, x: 0.986149, y: 0.984469, z: 1.25035, phi: 0.000713841, theta: -0.000254776, psi: -1.37373e-06
Time: 4.463, x: 0.996146, y: 0.994505, z: 1.25032, phi: 0.000730093, theta: -0.000295463, psi: -1.36808e-06
Time: 4.502, x: 1.00613, y: 1.00452, z: 1.25029, phi: 0.000692224, theta: -0.000277648, psi: -1.27891e-06
Time: 4.541, x: 1.01611, y: 1.01451, z: 1.25027, phi: 0.000559149, theta: -0.000154524, psi: -1.08743e-06
Time: 4.58, x: 1.02608, y: 1.02448, z: 1.25027, phi: 0.000372813, theta: 2.59402e-05, psi: -8.54998e-07
Time: 4.617, x: 1.03605, y: 1.03445, z: 1.25027, phi: 0.000201681, theta: 0.000184294, psi: -6.67056e-07
Time: 4.658, x: 1.04603, y: 1.0444, z: 1.25027, phi: 7.55738e-05, theta: 0.000284466, psi: -5.66488e-07
Time: 4.697, x: 1.05602, y: 1.05436, z: 1.25058, phi: 6.95195e-06, theta: 0.00031228, psi: -5.51078e-07
Time: 4.736, x: 1.06602, y: 1.06432, z: 1.25097, phi: -4.44214e-06, theta: 0.000270849, psi: -5.89613e-07
Time: 4.774, x: 1.07603, y: 1.07427, z: 1.25132, phi: 1.17705e-05, theta: 0.000198119, psi: -6.38553e-07
Time: 4.813, x: 1.08605, y: 1.08423, z: 1.25154, phi: 9.61615e-06, theta: 0.00014949, psi: -6.58525e-07
Time: 4.852, x: 1.09606, y: 1.09419, z: 1.25162, phi: -8.24534e-06, theta: 0.000124309, psi: -6.38233e-07
Time: 4.891, x: 1.10608, y: 1.10414, z: 1.25158, phi: -1.59159e-05, theta: 9.3268e-05, psi: -5.87931e-07
Time: 4.93, x: 1.11611, y: 1.1141, z: 1.25146, phi: -2.95092e-05, theta: 7.29587e-05, psi: -5.20521e-07
Time: 4.97, x: 1.12614, y: 1.12406, z: 1.25128, phi: -4.55845e-05, theta: 5.82459e-05, psi: -4.47939e-07
Time: 5.009, x: 1.13616, y: 1.13402, z: 1.25109, phi: -5.13262e-05, theta: 3.37574e-05, psi: -3.78854e-07
Time: 5.048, x: 1.14619, y: 1.14398, z: 1.2509, phi: -5.50863e-05, theta: 8.48963e-06, psi: -3.18312e-07
Time: 5.087, x: 1.15622, y: 1.15394, z: 1.25073, phi: -9.79811e-05, theta: 2.92595e-05, psi: -2.69403e-07
Time: 5.126, x: 1.16625, y: 1.16391, z: 1.25059, phi: -0.000210817, theta: 0.000131513, psi: -2.34748e-07
Time: 5.165, x: 1.17628, y: 1.17388, z: 1.25047, phi: -0.000354564, theta: 0.000270766, psi: -2.13328e-07
Time: 5.204, x: 1.18632, y: 1.18386, z: 1.25039, phi: -0.000466492, theta: 0.000374354, psi: -1.93335e-07
Time: 5.243, x: 1.19637, y: 1.19385, z: 1.25033, phi: -0.000518396, theta: 0.000408988, psi: -1.60988e-07
Time: 5.282, x: 1.20644, y: 1.20386, z: 1.25029, phi: -0.000482846, theta: 0.000344346, psi: -1.0799e-07
Time: 5.321, x: 1.21652, y: 1.21389, z: 1.25027, phi: -0.000369166, theta: 0.000193733, psi: -4.48488e-08
Time: 5.36, x: 1.2266, y: 1.22393, z: 1.25027, phi: -0.000278697, theta: 7.58693e-05, psi: -9.76115e-09
Time: 5.399, x: 1.23669, y: 1.23398, z: 1.25027, phi: -0.000275597, theta: 6.70073e-05, psi: -2.56309e-08
Time: 5.438, x: 1.24677, y: 1.24403, z: 1.25027, phi: -0.000336528, theta: 0.000140577, psi: -8.10513e-08
Time: 5.477, x: 1.25686, y: 1.25409, z: 1.25028, phi: -0.000397882, theta: 0.000220357, psi: -1.40052e-07
Time: 5.516, x: 1.26695, y: 1.26417, z: 1.25029, phi: -0.000423132, theta: 0.000259769, psi: -1.70041e-07
Time: 5.555, x: 1.27706, y: 1.27426, z: 1.2503, phi: -0.00039034, theta: 0.000230961, psi: -1.56216e-07
Time: 5.592, x: 1.28691, y: 1.2841, z: 1.25031, phi: -0.000319016, theta: 0.00015606, psi: -1.12741e-07
Time: 5.633, x: 1.29729, y: 1.29447, z: 1.25031, phi: -0.000263654, theta: 9.99366e-05, psi: -6.78678e-08
Time: 5.672, x: 1.30741, y: 1.30459, z: 1.25031, phi: -0.000267459, theta: 0.000114111, psi: -4.75242e-08
Time: 5.711, x: 1.31753, y: 1.31471, z: 1.25031, phi: -0.000277611, theta: 0.000139864, psi: -4.4052e-08
Time: 5.75, x: 1.32765, y: 1.32485, z: 1.25031, phi: -0.00024809, theta: 0.000123201, psi: -3.96422e-08
Time: 5.789, x: 1.33778, y: 1.33499, z: 1.25031, phi: -0.000191106, theta: 7.59409e-05, psi: -3.02143e-08
Time: 5.828, x: 1.34792, y: 1.34514, z: 1.25031, phi: -0.000111962, theta: 3.76839e-06, psi: -1.7796e-08
Time: 5.867, x: 1.35805, y: 1.35529, z: 1.25031, phi: -2.29336e-05, theta: -7.88069e-05, psi: -7.82601e-09
Time: 5.906, x: 1.36818, y: 1.36544, z: 1.25031, phi: 2.53147e-05, theta: -0.000113698, psi: -7.8239e-09
Time: 5.945, x: 1.37857, y: 1.37585, z: 1.25031, phi: -7.83334e-06, theta: -5.40611e-05, psi: -1.94266e-08
Time: 5.984, x: 1.38869, y: 1.386, z: 1.2503, phi: -8.13798e-05, theta: 5.13345e-05, psi: -3.6332e-08
Time: 6.024, x: 1.39881, y: 1.39615, z: 1.2503, phi: -0.000132586, theta: 0.00012912, psi: -4.98581e-08
Time: 6.063, x: 1.40894, y: 1.40631, z: 1.2503, phi: -0.000137107, theta: 0.000149125, psi: -5.38233e-08
Time: 6.102, x: 1.41908, y: 1.41647, z: 1.2503, phi: -8.99037e-05, theta: 0.000105659, psi: -4.84914e-08
Time: 6.14, x: 1.42922, y: 1.42664, z: 1.2503, phi: 2.24848e-05, theta: -1.42021e-05, psi: -3.76286e-08
Time: 6.179, x: 1.43936, y: 1.4368, z: 1.25031, phi: 0.000168974, theta: -0.000172328, psi: -2.69504e-08
Time: 6.218, x: 1.44949, y: 1.44696, z: 1.25031, phi: 0.00023489, theta: -0.000236243, psi: -1.68841e-08
Time: 6.258, x: 1.45962, y: 1.45711, z: 1.2503, phi: 0.000225278, theta: -0.00020976, psi: -3.67808e-09
Time: 6.297, x: 1.46974, y: 1.46726, z: 1.2503, phi: 0.00019295, theta: -0.000154719, psi: 9.1645e-09
Time: 6.336, x: 1.47985, y: 1.47739, z: 1.2503, phi: 0.000167322, theta: -0.000108745, psi: 1.60448e-08
Time: 6.375, x: 1.48996, y: 1.48753, z: 1.2503, phi: 0.000167502, theta: -9.669e-05, psi: 1.39262e-08
Time: 6.413, x: 1.50007, y: 1.49766, z: 1.2503, phi: 0.00020623, theta: -0.000133826, psi: 2.79413e-09
Time: 6.452, x: 1.51017, y: 1.50778, z: 1.2503, phi: 0.000245917, theta: -0.000176545, psi: -1.00982e-08
Time: 6.491, x: 1.52027, y: 1.51789, z: 1.2503, phi: 0.000212824, theta: -0.00013919, psi: -1.06964e-08
Time: 6.53, x: 1.53036, y: 1.528, z: 1.2503, phi: 0.000118389, theta: -3.25916e-05, psi: 6.25241e-10
Time: 6.569, x: 1.54046, y: 1.5381, z: 1.2503, phi: 3.76339e-05, theta: 5.79234e-05, psi: 9.33902e-09
Time: 6.608, x: 1.55055, y: 1.54821, z: 1.2503, phi: 2.10772e-05, theta: 7.31958e-05, psi: 6.39182e-09
Time: 6.647, x: 1.56065, y: 1.55831, z: 1.2503, phi: 5.39151e-05, theta: 2.912e-05, psi: -6.68921e-09
Time: 6.685, x: 1.57049, y: 1.56816, z: 1.2503, phi: 0.000125365, theta: -6.00798e-05, psi: -2.43911e-08
Time: 6.724, x: 1.58059, y: 1.57826, z: 1.2503, phi: 0.000206036, theta: -0.000159055, psi: -4.01114e-08
Time: 6.763, x: 1.59068, y: 1.58835, z: 1.2503, phi: 0.000232855, theta: -0.000194219, psi: -4.28852e-08
Time: 6.802, x: 1.60077, y: 1.59843, z: 1.2503, phi: 0.000165702, theta: -0.000119635, psi: -2.6962e-08
Time: 6.841, x: 1.61085, y: 1.60851, z: 1.2503, phi: 4.57248e-05, theta: 1.64234e-05, psi: -3.9122e-09
Time: 6.88, x: 1.62093, y: 1.61859, z: 1.2503, phi: -5.79024e-05, theta: 0.000131995, psi: 1.09343e-08
Time: 6.919, x: 1.63101, y: 1.62866, z: 1.2503, phi: -0.00011101, theta: 0.000185131, psi: 1.29129e-08
Time: 6.958, x: 1.64111, y: 1.63875, z: 1.2503, phi: -9.83816e-05, theta: 0.000158269, psi: 4.64491e-09
Time: 6.997, x: 1.65121, y: 1.64884, z: 1.2503, phi: -1.60945e-05, theta: 4.95043e-05, psi: -8.7394e-09
Time: 7.037, x: 1.66157, y: 1.65918, z: 1.2503, phi: 0.000103303, theta: -0.000100764, psi: -2.30565e-08
Time: 7.076, x: 1.67166, y: 1.66927, z: 1.2503, phi: 0.000138056, theta: -0.000150404, psi: -3.05305e-08
Time: 7.115, x: 1.68176, y: 1.67935, z: 1.2503, phi: 9.80293e-05, theta: -0.000108736, psi: -2.84573e-08
Time: 7.154, x: 1.69184, y: 1.68942, z: 1.2503, phi: 3.87566e-05, theta: -4.05804e-05, psi: -2.137e-08
Time: 7.193, x: 1.70193, y: 1.6995, z: 1.2503, phi: -3.31871e-06, theta: 8.48776e-06, psi: -1.38109e-08
Time: 7.232, x: 1.71176, y: 1.70932, z: 1.25031, phi: -3.36113e-06, theta: 7.26574e-06, psi: -7.50447e-09
Time: 7.269, x: 1.719, y: 1.71655, z: 1.25031, phi: 1.8017e-05, theta: -2.01507e-05, psi: -3.8988e-09
Time: 7.31, x: 1.73219, y: 1.72973, z: 1.25031, phi: 4.92952e-05, theta: -6.44714e-05, psi: -1.42112e-10
Time: 7.349, x: 1.74227, y: 1.7398, z: 1.25031, phi: 4.44126e-05, theta: -6.57761e-05, psi: 7.53525e-10
Time: 7.388, x: 1.75236, y: 1.74987, z: 1.2503, phi: 1.17675e-05, theta: -3.40777e-05, psi: 4.75319e-10
Time: 7.427, x: 1.76244, y: 1.75994, z: 1.2503, phi: -4.50376e-06, theta: -1.90168e-05, psi: 6.45239e-10
Time: 7.466, x: 1.77252, y: 1.77002, z: 1.2503, phi: 3.09527e-05, theta: -6.15528e-05, psi: 3.33717e-09
Time: 7.505, x: 1.7826, y: 1.78009, z: 1.2503, phi: 9.383e-05, theta: -0.000134678, psi: 6.44736e-09
Time: 7.544, x: 1.79268, y: 1.79016, z: 1.2503, phi: 0.000165943, theta: -0.000216807, psi: 8.01704e-09
Time: 7.583, x: 1.80275, y: 1.80022, z: 1.2503, phi: 0.000238547, theta: -0.00029685, psi: 7.76366e-09
Time: 7.622, x: 1.81281, y: 1.81028, z: 1.2503, phi: 0.000284639, theta: -0.000343835, psi: 6.51176e-09
Time: 7.661, x: 1.82286, y: 1.82033, z: 1.2503, phi: 0.000258085, theta: -0.000305989, psi: 4.95252e-09
Time: 7.7, x: 1.83289, y: 1.83037, z: 1.2503, phi: 0.000197131, theta: -0.000227853, psi: 2.29313e-09
Time: 7.74, x: 1.84318, y: 1.84066, z: 1.2503, phi: 0.000124921, theta: -0.000138264, psi: -2.27718e-09
Time: 7.78, x: 1.85321, y: 1.85069, z: 1.2503, phi: 6.88623e-05, theta: -7.08589e-05, psi: -7.94438e-09
Time: 7.819, x: 1.86324, y: 1.86071, z: 1.2503, phi: 4.593e-05, theta: -4.51914e-05, psi: -1.31938e-08
Time: 7.857, x: 1.87326, y: 1.87074, z: 1.25031, phi: 7.26755e-05, theta: -7.87902e-05, psi: -1.61164e-08
Time: 7.896, x: 1.88329, y: 1.88077, z: 1.25031, phi: 0.000144572, theta: -0.000164232, psi: -1.65044e-08
Time: 7.934, x: 1.89305, y: 1.89053, z: 1.25031, phi: 0.000185061, theta: -0.000212321, psi: -1.55821e-08
Time: 7.973, x: 1.90306, y: 1.90055, z: 1.25031, phi: 0.000180152, theta: -0.000205096, psi: -1.25614e-08
Time: 8.012, x: 1.91307, y: 1.91056, z: 1.25031, phi: 0.000142341, theta: -0.000156884, psi: -8.24973e-09
Time: 8.051, x: 1.92307, y: 1.92056, z: 1.25031, phi: 8.69175e-05, theta: -8.73525e-05, psi: -4.60201e-09
Time: 8.09, x: 1.93025, y: 1.92774, z: 1.2503, phi: 4.71812e-05, theta: -3.81844e-05, psi: -3.27041e-09
Time: 8.129, x: 1.94025, y: 1.93774, z: 1.2503, phi: 1.07847e-05, theta: 6.28953e-06, psi: -3.43677e-09
Time: 8.168, x: 1.95024, y: 1.94774, z: 1.2503, phi: -6.8133e-06, theta: 2.58786e-05, psi: -4.74737e-09
Time: 8.206, x: 1.96024, y: 1.95775, z: 1.2503, phi: -4.60412e-05, theta: 6.6737e-05, psi: -4.84715e-09
Time: 8.245, x: 1.97024, y: 1.96775, z: 1.2503, phi: -0.000115887, theta: 0.000140564, psi: -3.79076e-09
Time: 8.284, x: 1.98025, y: 1.97775, z: 1.2503, phi: -0.000192965, theta: 0.000222175, psi: -3.34942e-09
Time: 8.323, x: 1.99026, y: 1.98776, z: 1.2503, phi: -0.000229143, theta: 0.000257344, psi: -3.69228e-09
Time: 8.362, x: 2.00028, y: 1.99778, z: 1.2503, phi: -0.000238637, theta: 0.000261774, psi: -3.92967e-09
Time: 8.401, x: 2.01031, y: 2.00781, z: 1.2503, phi: -0.000229599, theta: 0.000245058, psi: -3.94354e-09
Time: 8.44, x: 2.02034, y: 2.01784, z: 1.2503, phi: -0.000210527, theta: 0.000217855, psi: -4.22396e-09
Time: 8.478, x: 2.03038, y: 2.02788, z: 1.2503, phi: -0.000183044, theta: 0.000182926, psi: -5.04625e-09
Time: 8.518, x: 2.04043, y: 2.03793, z: 1.2503, phi: -0.000186557, theta: 0.000185182, psi: -6.96347e-09
Time: 8.557, x: 2.05048, y: 2.04798, z: 1.2503, phi: -0.000218307, theta: 0.000221505, psi: -9.99272e-09
Time: 8.597, x: 2.06312, y: 2.06061, z: 1.2503, phi: -0.000282358, theta: 0.000296038, psi: -1.46079e-08
Time: 8.632, x: 2.07061, y: 2.0681, z: 1.2503, phi: -0.000315026, theta: 0.000333816, psi: -1.66126e-08
Time: 8.674, x: 2.08068, y: 2.07817, z: 1.2503, phi: -0.000339923, theta: 0.000361249, psi: -1.66806e-08
