Time: 3.799, U1: 20.7827, U2: 0.000724266, U3: -0.000906595, U4: -2.18679e-06
Time: 3.838, U1: 20.6624, U2: 0.00463271, U3: -0.00461082, U4: -2.5182e-06
Time: 3.877, U1: 20.5708, U2: -0.00428987, U3: 0.00372311, U4: -3.66257e-06
Time: 3.916, U1: 20.5243, U2: -0.00648001, U3: 0.00582595, U4: -3.22069e-06
Time: 3.955, U1: 20.5086, U2: -0.00987917, U3: 0.00888531, U4: -2.59285e-06
Time: 3.994, U1: 20.5192, U2: -0.00681264, U3: 0.00579457, U4: -3.06871e-06
Time: 4.033, U1: 20.5444, U2: 0.000923233, U3: -0.00171585, U4: -4.87387e-06
Time: 4.072, U1: 20.5729, U2: 0.00357362, U3: -0.00443503, U4: -6.01025e-06
Time: 4.111, U1: 20.6016, U2: 0.000522688, U3: -0.00161163, U4: -3.93317e-06
Time: 4.15, U1: 20.629, U2: -0.00550815, U3: 0.00418456, U4: 9.57286e-07
Time: 4.189, U1: 20.6516, U2: -0.00483765, U3: 0.00382652, U4: 4.24721e-06
Time: 4.228, U1: 20.668, U2: 0.00140216, U3: -0.00184525, U4: 2.97652e-06
Time: 4.267, U1: 20.6794, U2: 0.00809094, U3: -0.00804985, U4: 2.13701e-07
Time: 4.306, U1: 20.6878, U2: 0.00369985, U3: -0.00398565, U4: -2.95004e-07
Time: 4.345, U1: 20.6918, U2: 0.00234122, U3: -0.00251964, U4: 3.2858e-06
Time: 4.384, U1: 20.6935, U2: -0.00284558, U3: 0.00247131, U4: 6.3222e-06
Time: 4.423, U1: 20.6929, U2: -0.00887007, U3: 0.00815633, U4: 7.72191e-06
Time: 4.463, U1: 20.6914, U2: -0.00687871, U3: 0.0062866, U4: 4.79749e-06
Time: 4.502, U1: 20.6876, U2: 0.00046916, U3: -0.00072059, U4: -1.76704e-06
Time: 4.541, U1: 20.6846, U2: 0.0035965, U3: -0.00387576, U4: -7.19255e-06
Time: 4.58, U1: 20.6819, U2: 0.00457065, U3: -0.00483703, U4: -7.93261e-06
Time: 4.617, U1: 20.6775, U2: 0.00529661, U3: -0.00538894, U4: -5.23323e-06
Time: 4.658, U1: 20.6802, U2: 0.00381941, U3: -0.00365379, U4: -1.33473e-06
Time: 4.697, U1: 20.5025, U2: -0.00112611, U3: 0.00122588, U4: 2.38955e-06
Time: 4.736, U1: 20.4798, U2: -0.00281056, U3: 0.0030225, U4: 4.46628e-06
Time: 4.774, U1: 20.4924, U2: 0.00162608, U3: -0.00108358, U4: 4.26179e-06
Time: 4.813, U1: 20.545, U2: -0.000458319, U3: 0.000742745, U4: 2.3997e-06
Time: 4.852, U1: 20.5963, U2: -0.000711546, U3: 0.000884358, U4: 9.2711e-07
Time: 4.891, U1: 20.6413, U2: 0.000810289, U3: -0.00061161, U4: -2.03307e-07
Time: 4.93, U1: 20.6757, U2: 0.00111943, U3: -0.000951682, U4: -9.15979e-07
Time: 4.97, U1: 20.7011, U2: -0.0019682, U3: 0.00195542, U4: -1.17938e-06
Time: 5.009, U1: 20.7134, U2: -0.00663039, U3: 0.00638308, U4: -8.39511e-07
Time: 5.048, U1: 20.7193, U2: -0.00483448, U3: 0.00471751, U4: -7.6498e-07
Time: 5.087, U1: 20.7193, U2: 0.00204913, U3: -0.00185698, U4: -4.32751e-07
Time: 5.126, U1: 20.716, U2: 0.00459186, U3: -0.00438932, U4: 4.60526e-07
Time: 5.165, U1: 20.7105, U2: 0.0064274, U3: -0.00610289, U4: 6.95249e-07
Time: 5.204, U1: 20.7038, U2: 0.00981704, U3: -0.00912861, U4: 3.99932e-07
Time: 5.243, U1: 20.6974, U2: 0.000287446, U3: 8.93329e-05, U4: -1.43362e-06
Time: 5.282, U1: 20.691, U2: -0.0076676, U3: 0.00789113, U4: -3.05906e-06
Time: 5.321, U1: 20.6859, U2: -0.0074513, U3: 0.00777814, U4: -3.06916e-06
Time: 5.36, U1: 20.682, U2: -0.000832477, U3: 0.00130518, U4: -9.11224e-07
Time: 5.399, U1: 20.679, U2: 0.00228555, U3: -0.00203494, U4: 2.13857e-06
Time: 5.438, U1: 20.677, U2: 0.00507074, U3: -0.00493085, U4: 3.71887e-06
Time: 5.477, U1: 20.6759, U2: 0.00480877, U3: -0.00473209, U4: 3.23965e-06
Time: 5.516, U1: 20.6753, U2: 0.000295881, U3: -0.000326645, U4: 1.12333e-06
Time: 5.555, U1: 20.6752, U2: -0.00610903, U3: 0.00594065, U4: -9.45159e-07
Time: 5.592, U1: 20.6725, U2: -0.00239053, U3: 0.00259418, U4: -2.0397e-06
Time: 5.633, U1: 20.6785, U2: 0.00395476, U3: -0.00348439, U4: -9.05825e-07
Time: 5.672, U1: 20.6775, U2: 0.00252064, U3: -0.00232293, U4: 1.42954e-07
Time: 5.711, U1: 20.6778, U2: 0.00178648, U3: -0.00167874, U4: 1.98082e-07
Time: 5.75, U1: 20.6779, U2: 0.00203673, U3: -0.00187326, U4: -1.04458e-07
Time: 5.789, U1: 20.6781, U2: -0.00186283, U3: 0.00184394, U4: -5.37927e-07
Time: 5.828, U1: 20.6782, U2: -0.0073891, U3: 0.00707799, U4: -5.38961e-07
Time: 5.867, U1: 20.6782, U2: -0.00576289, U3: 0.00551626, U4: -3.60611e-07
Time: 5.906, U1: 20.6783, U2: 0.00108213, U3: -0.0011016, U4: 2.39434e-07
Time: 5.945, U1: 20.6783, U2: 0.003866, U3: -0.00396266, U4: 9.65478e-07
Time: 5.984, U1: 20.6782, U2: 0.00431509, U3: -0.00444348, U4: 1.09045e-06
Time: 6.024, U1: 20.6793, U2: 0.00456594, U3: -0.00454385, U4: 7.98918e-07
Time: 6.063, U1: 20.6782, U2: 0.00753896, U3: -0.00710414, U4: 8.77751e-07
Time: 6.102, U1: 20.6778, U2: -0.00653877, U3: 0.00627704, U4: 1.03328e-07
Time: 6.14, U1: 20.6765, U2: -0.00824597, U3: 0.00811731, U4: 9.27501e-08
Time: 6.179, U1: 20.6777, U2: -0.00270749, U3: 0.00284045, U4: -6.55789e-08
Time: 6.218, U1: 20.678, U2: 0.000177425, U3: -0.000193474, U4: -5.00719e-07
Time: 6.258, U1: 20.6793, U2: 0.0016795, U3: -0.00188285, U4: -7.3334e-07
Time: 6.297, U1: 20.6783, U2: 0.00346517, U3: -0.00366361, U4: -6.16997e-07
Time: 6.336, U1: 20.678, U2: 0.00296717, U3: -0.00314284, U4: -2.65429e-07
Time: 6.375, U1: 20.6778, U2: -0.00591816, U3: 0.00532719, U4: 5.02245e-07
Time: 6.413, U1: 20.6766, U2: -0.00720791, U3: 0.00675173, U4: 1.05982e-06
Time: 6.452, U1: 20.6778, U2: -0.00113794, U3: 0.00107317, U4: 4.02025e-07
Time: 6.491, U1: 20.6782, U2: 0.00625308, U3: -0.00600934, U4: -3.68815e-07
Time: 6.53, U1: 20.6783, U2: 0.0041988, U3: -0.00422115, U4: -7.78276e-07
Time: 6.569, U1: 20.6784, U2: 0.00405908, U3: -0.00398535, U4: -2.55202e-07
Time: 6.608, U1: 20.6783, U2: 0.00222986, U3: -0.0020815, U4: 4.24849e-07
Time: 6.647, U1: 20.6782, U2: -0.00271604, U3: 0.00272657, U4: 9.63031e-07
Time: 6.685, U1: 20.6769, U2: -0.00867802, U3: 0.00840901, U4: 1.54825e-06
Time: 6.724, U1: 20.6781, U2: -0.00685337, U3: 0.00663096, U4: 1.10575e-06
Time: 6.763, U1: 20.6783, U2: 0.000520946, U3: -0.000535171, U4: -1.50866e-07
Time: 6.802, U1: 20.6784, U2: 0.00359369, U3: -0.00371996, U4: -9.40029e-07
Time: 6.841, U1: 20.6784, U2: 0.00589143, U3: -0.00596789, U4: -9.15675e-07
Time: 6.88, U1: 20.6783, U2: 0.00505881, U3: -0.00506058, U4: -4.78766e-07
Time: 6.919, U1: 20.6782, U2: 0.00762311, U3: -0.00716815, U4: 5.06958e-07
Time: 6.958, U1: 20.6781, U2: -0.00649388, U3: 0.00631738, U4: 7.23025e-07
Time: 6.997, U1: 20.678, U2: -0.00823593, U3: 0.00822366, U4: 1.10222e-06
Time: 7.037, U1: 20.6791, U2: -0.00251108, U3: 0.00279384, U4: 7.80728e-07
Time: 7.076, U1: 20.6779, U2: 0.000504614, U3: -0.00036284, U4: 2.45774e-07
Time: 7.115, U1: 20.6776, U2: 0.00360187, U3: -0.00354797, U4: -4.78161e-08
Time: 7.154, U1: 20.6775, U2: 0.00383224, U3: -0.00388188, U4: -1.62577e-07
Time: 7.193, U1: 20.6775, U2: -0.000230326, U3: 9.32096e-06, U4: -2.17893e-07
Time: 7.232, U1: 20.6776, U2: -0.00182492, U3: 0.00169786, U4: -1.82338e-07
Time: 7.269, U1: 20.6747, U2: -0.00332857, U3: 0.00321836, U4: -9.61476e-08
Time: 7.31, U1: 20.6801, U2: -0.000429866, U3: 0.000558258, U4: -5.16035e-08
Time: 7.349, U1: 20.6787, U2: 0.00531203, U3: -0.00489452, U4: 2.14741e-07
Time: 7.388, U1: 20.6785, U2: 0.00280564, U3: -0.0026245, U4: 9.38014e-08
Time: 7.427, U1: 20.6783, U2: 0.00119526, U3: -0.00105066, U4: -5.02074e-08
Time: 7.466, U1: 20.6781, U2: -0.00015787, U3: 0.000316918, U4: -1.26851e-07
Time: 7.505, U1: 20.678, U2: 0.000377657, U3: -0.000127833, U4: -4.60253e-08
Time: 7.544, U1: 20.678, U2: -0.00764811, U3: 0.00737415, U4: 1.77292e-07
Time: 7.583, U1: 20.678, U2: -0.00354971, U3: 0.00349391, U4: -3.62409e-08
Time: 7.622, U1: 20.6779, U2: -0.00138366, U3: 0.00125665, U4: -2.92923e-08
Time: 7.661, U1: 20.6779, U2: 0.000505124, U3: -0.000709305, U4: 4.6382e-08
Time: 7.7, U1: 20.6779, U2: 0.00277314, U3: -0.00291899, U4: 1.46845e-07
Time: 7.74, U1: 20.6791, U2: 0.00301621, U3: -0.00310097, U4: 2.49318e-07
Time: 7.78, U1: 20.6791, U2: 0.00670616, U3: -0.00639359, U4: 5.34103e-07
Time: 7.819, U1: 20.6777, U2: -0.00190216, U3: 0.00183695, U4: 2.78134e-07
Time: 7.857, U1: 20.6761, U2: -0.00445723, U3: 0.00446026, U4: 2.30271e-07
Time: 7.896, U1: 20.6772, U2: -0.00316423, U3: 0.0032839, U4: 1.42014e-07
Time: 7.934, U1: 20.6764, U2: -0.00194905, U3: 0.00199385, U4: 7.62508e-09
Time: 7.973, U1: 20.6779, U2: -0.000486272, U3: 0.000408208, U4: -1.07461e-07
Time: 8.012, U1: 20.6784, U2: 0.00185947, U3: -0.00194995, U4: -1.49969e-07
Time: 8.051, U1: 20.6786, U2: 0.00232559, U3: -0.0024465, U4: -8.92917e-08
Time: 8.09, U1: 20.6786, U2: -0.00217595, U3: 0.00180067, U4: 1.29239e-07
Time: 8.129, U1: 20.6786, U2: -0.00291392, U3: 0.00261398, U4: 1.86159e-07
Time: 8.168, U1: 20.6784, U2: -0.00132177, U3: 0.00122002, U4: 9.15205e-08
Time: 8.206, U1: 20.6771, U2: 0.00439511, U3: -0.00412849, U4: 4.17476e-08
Time: 8.245, U1: 20.6781, U2: 0.00209238, U3: -0.00201047, U4: 7.06674e-09
Time: 8.284, U1: 20.6782, U2: 0.00169718, U3: -0.00161513, U4: 1.17579e-08
Time: 8.323, U1: 20.6784, U2: 0.000614105, U3: -0.000518392, U4: -1.99572e-08
Time: 8.362, U1: 20.6783, U2: 0.00145955, U3: -0.00123913, U4: -2.018e-08
Time: 8.401, U1: 20.6782, U2: -0.00332763, U3: 0.0032723, U4: 3.33641e-08
Time: 8.44, U1: 20.6781, U2: -0.00236832, U3: 0.00238259, U4: 1.87657e-09
Time: 8.478, U1: 20.6768, U2: -0.00201825, U3: 0.00199594, U4: 6.27211e-08
Time: 8.518, U1: 20.6791, U2: 0.00058904, U3: -0.000576272, U4: 1.43407e-07
Time: 8.557, U1: 20.6781, U2: 0.00165439, U3: -0.00169784, U4: 2.57761e-07
Time: 8.597, U1: 20.6791, U2: 0.00342646, U3: -0.00341143, U4: 3.13976e-07
Time: 8.632, U1: 20.6725, U2: 0.00692949, U3: -0.00668744, U4: 4.90543e-07
Time: 8.674, U1: 20.6809, U2: 0.00259091, U3: -0.00246013, U4: 2.41794e-08
Time: 8.713, U1: 20.6784, U2: -0.00238872, U3: 0.00240041, U4: -3.35724e-07
Time: 8.753, U1: 20.6797, U2: -0.00355383, U3: 0.00373821, U4: -3.60412e-07
Time: 8.792, U1: 20.6783, U2: -0.00184301, U3: 0.00212967, U4: -9.52224e-08
Time: 8.831, U1: 20.6779, U2: -0.000763014, U3: 0.000940433, U4: 1.56192e-07
Time: 8.87, U1: 20.6777, U2: -0.00135952, U3: 0.00135212, U4: 2.46608e-07
Time: 8.909, U1: 20.6776, U2: 0.00177025, U3: -0.00176852, U4: 3.52863e-07
Time: 8.948, U1: 20.6776, U2: 0.00221062, U3: -0.00227301, U4: 3.11117e-07
Time: 8.987, U1: 20.6777, U2: 0.00169937, U3: -0.00176037, U4: 2.15795e-07
Time: 9.026, U1: 20.6778, U2: -0.00231984, U3: 0.00211915, U4: 1.04161e-07
Time: 9.065, U1: 20.6778, U2: -0.00330229, U3: 0.00316728, U4: 1.33827e-07
Time: 9.104, U1: 20.6779, U2: 0.000115558, U3: -1.12441e-05, U4: 1.68876e-07
Time: 9.142, U1: 20.6767, U2: -0.00200459, U3: 0.00191441, U4: 3.83899e-08
Time: 9.181, U1: 20.678, U2: -0.00153137, U3: 0.00139227, U4: -7.26276e-08
Time: 9.219, U1: 20.677, U2: -0.00113761, U3: 0.000963316, U4: -1.63914e-07
Time: 9.259, U1: 20.6796, U2: 0.00090852, U3: -0.00101378, U4: -2.22704e-07
Time: 9.299, U1: 20.6799, U2: 0.00286353, U3: -0.0028759, U4: -1.5685e-07
Time: 9.338, U1: 20.6786, U2: 0.00275588, U3: -0.00273801, U4: -1.45019e-08
Time: 9.378, U1: 20.6791, U2: 0.00287764, U3: -0.00272728, U4: 2.4055e-07
Time: 9.417, U1: 20.6777, U2: -0.00141855, U3: 0.00141692, U4: 3.71062e-07
Time: 9.455, U1: 20.6761, U2: -0.00281358, U3: 0.0028383, U4: 5.23119e-07
Time: 9.494, U1: 20.6772, U2: -0.00288622, U3: 0.00289369, U4: 4.21229e-07
Time: 9.533, U1: 20.6776, U2: 0.00241266, U3: -0.00217818, U4: 1.79899e-07
Time: 9.571, U1: 20.6766, U2: -0.00117818, U3: 0.00107007, U4: -1.53442e-07
Time: 9.611, U1: 20.6792, U2: -0.000997158, U3: 0.000817969, U4: -3.34168e-07
Time: 9.65, U1: 20.6783, U2: -0.00129746, U3: 0.00108665, U4: -3.53616e-07
Time: 9.689, U1: 20.6784, U2: -0.000731736, U3: 0.000546223, U4: -3.18004e-07
