Time: 362.626, x: 1.13689, y: 1.18011, z: 1.25
Time: 362.66, x: 1.14415, y: 1.18645, z: 1.25
Time: 362.694, x: 1.15143, y: 1.19279, z: 1.25
Time: 362.728, x: 1.15631, y: 1.19701, z: 1.25
Time: 362.763, x: 1.16365, y: 1.20334, z: 1.25
Time: 362.798, x: 1.17101, y: 1.20968, z: 1.25
Time: 362.832, x: 1.17594, y: 1.2139, z: 1.25
Time: 362.867, x: 1.18336, y: 1.22025, z: 1.25
Time: 362.902, x: 1.19081, y: 1.22662, z: 1.25
Time: 362.936, x: 1.1958, y: 1.23088, z: 1.25
Time: 362.97, x: 1.2033, y: 1.23729, z: 1.25
Time: 363.005, x: 1.21064, y: 1.24357, z: 1.25
Time: 363.04, x: 1.21587, y: 1.24804, z: 1.25
Time: 363.075, x: 1.22346, y: 1.25453, z: 1.25
Time: 363.109, x: 1.23087, y: 1.26089, z: 1.25
Time: 363.143, x: 1.23616, y: 1.26543, z: 1.25
Time: 363.178, x: 1.24382, y: 1.27203, z: 1.25
Time: 363.212, x: 1.2511, y: 1.27831, z: 1.25
Time: 363.247, x: 1.25662, y: 1.28309, z: 1.25
Time: 363.282, x: 1.26432, y: 1.28978, z: 1.25
Time: 363.317, x: 1.27182, y: 1.29632, z: 1.25
Time: 363.352, x: 1.27716, y: 1.30099, z: 1.25
Time: 363.386, x: 1.28526, y: 1.30811, z: 1.25
Time: 363.42, x: 1.29041, y: 1.31264, z: 1.25
Time: 363.455, x: 1.29812, y: 1.31946, z: 1.25
Time: 363.49, x: 1.30583, y: 1.32632, z: 1.25
Time: 363.525, x: 1.31097, y: 1.3309, z: 1.25
Time: 363.559, x: 1.31867, y: 1.33779, z: 1.25
Time: 363.594, x: 1.32638, y: 1.34471, z: 1.25
Time: 363.629, x: 1.33152, y: 1.34934, z: 1.25
Time: 363.663, x: 1.33941, y: 1.35648, z: 1.25
Time: 363.698, x: 1.34711, y: 1.36345, z: 1.25
Time: 363.733, x: 1.35224, y: 1.36812, z: 1.25
Time: 363.767, x: 1.35992, y: 1.37511, z: 1.25
Time: 363.802, x: 1.36758, y: 1.38212, z: 1.25
Time: 363.837, x: 1.37267, y: 1.38679, z: 1.25
Time: 363.871, x: 1.3803, y: 1.39379, z: 1.25
Time: 363.905, x: 1.38771, y: 1.40062, z: 1.25
Time: 363.94, x: 1.39296, y: 1.40547, z: 1.25
Time: 363.975, x: 1.40053, y: 1.41246, z: 1.25
Time: 364.01, x: 1.40809, y: 1.41945, z: 1.25
